SORT_ORDER,ORG_NAME,ORG_CODE,FY_CODE,AMAO_PRGS_ACHIEVED,AMAO_ATTN_ACHIEVED,CUMULATIVE_PPI
2,Everett,00930000,2013,Yes,No,No
2,Everett,00930000,2010,Yes,Yes,
2,Everett,00930000,2012,Yes,Yes,No
2,Everett,00930000,2006,Yes,Yes,
2,Everett,00930000,2009,Yes,Yes,
2,Everett,00930000,2007,Yes,Yes,
2,Everett,00930000,2005,Yes,No,
2,Everett,00930000,2011,Yes,Yes,
2,Everett,00930000,2008,Yes,Yes,
2,"Fall River",00950000,2010,No,No,
2,"Fall River",00950000,2012,No,No,No
2,"Fall River",00950000,2013,No,No,No
2,"Fall River",00950000,2007,No,No,
2,"Fall River",00950000,2008,Yes,Yes,
2,"Fall River",00950000,2005,Yes,No,
2,"Fall River",00950000,2011,No,No,
2,"Fall River",00950000,2006,Yes,Yes,
2,"Fall River",00950000,2009,Yes,Yes,
2,Fitchburg,00970000,2010,Yes,Yes,
2,Fitchburg,00970000,2012,No,No,No
2,Fitchburg,00970000,2013,No,No,No
2,Fitchburg,00970000,2008,Yes,Yes,
2,Fitchburg,00970000,2006,Yes,Yes,
2,Fitchburg,00970000,2007,Yes,Yes,
2,Fitchburg,00970000,2005,Yes,No,
2,Fitchburg,00970000,2011,No,No,
2,Fitchburg,00970000,2009,Yes,Yes,
2,Framingham,01000000,2013,Yes,No,No
2,Framingham,01000000,2012,Yes,No,No
2,Framingham,01000000,2010,Yes,Yes,
2,Framingham,01000000,2005,Yes,No,
2,Framingham,01000000,2008,Yes,Yes,
2,Framingham,01000000,2009,Yes,Yes,
2,Framingham,01000000,2011,Yes,No,
2,Framingham,01000000,2007,Yes,Yes,
2,Framingham,01000000,2006,Yes,Yes,
2,Haverhill,01280000,2010,No,No,
2,Haverhill,01280000,2012,No,No,No
2,Haverhill,01280000,2013,No,No,No
2,Haverhill,01280000,2007,Yes,Yes,
2,Haverhill,01280000,2008,No,Yes,
2,Haverhill,01280000,2005,Yes,No,
2,Haverhill,01280000,2011,Yes,No,
2,Haverhill,01280000,2006,Yes,No,
2,Haverhill,01280000,2009,Yes,Yes,
2,Holyoke,01370000,2010,No,No,
2,Holyoke,01370000,2012,No,No,No
2,Holyoke,01370000,2013,No,No,No
2,Holyoke,01370000,2008,No,No,
2,Holyoke,01370000,2006,No,No,
2,Holyoke,01370000,2007,No,No,
2,Holyoke,01370000,2005,No,No,
2,Holyoke,01370000,2011,No,No,
2,Holyoke,01370000,2009,No,No,
2,Hudson,01410000,2013,No,Yes,No
2,Hudson,01410000,2012,Yes,Yes,Yes
2,Hudson,01410000,2010,Yes,Yes,
2,Hudson,01410000,2005,Yes,No,
2,Hudson,01410000,2008,Yes,Yes,
2,Hudson,01410000,2009,Yes,Yes,
2,Hudson,01410000,2011,No,Yes,
2,Hudson,01410000,2007,Yes,Yes,
2,Hudson,01410000,2006,Yes,Yes,
2,Lawrence,01490000,2012,No,No,No
2,Lawrence,01490000,2010,No,No,
2,Lawrence,01490000,2013,Yes,No,No
2,"Lawrence Family Development Charter (District)",04540000,2009,Yes,No,
2,"Lawrence Family Development Charter (District)",04540000,2011,No,No,
2,"Lawrence Family Development Charter (District)",04540000,2008,Yes,Yes,
2,"Lawrence Family Development Charter",04540000,2005,Yes,Yes,
2,"Lawrence Family Development Charter",04540000,2006,Yes,Yes,
2,"Lawrence Family Development Charter (District)",04540000,2007,Yes,Yes,
2,"Lawrence Family Development Charter (District)",04540000,2013,Yes,No,Yes
2,"Lawrence Family Development Charter (District)",04540000,2012,Yes,No,Yes
2,"Lawrence Family Development Charter (District)",04540000,2010,Yes,Yes,
2,Lawrence,01490000,2007,No,No,
2,Lawrence,01490000,2006,No,No,
2,Lawrence,01490000,2005,No,No,
2,Lawrence,01490000,2008,Yes,Yes,
2,Lawrence,01490000,2011,No,No,
2,Lawrence,01490000,2009,No,Yes,
2,Leominster,01530000,2013,No,Yes,No
2,Leominster,01530000,2010,No,No,
2,Leominster,01530000,2012,Yes,Yes,No
2,Leominster,01530000,2006,Yes,No,
