SY,District,"Org Code","In-District FTE Average Membership","Out-of-District FTE Average Membership","Total FTE Average Membership"
2011,LUDLOW,01610000,2968.3,96.1,3064.4
2011,LUNENBURG,01620000,1663.5,91.7,1755.2
2011,LYNN,01630000,13563.6,763.6,14327.2
2011,LYNNFIELD,01640000,2297.4,37.6,2335
2011,MALDEN,01650000,6602.6,772.6,7375.2
2011,"MANCHESTER ESSEX",06980000,1518.4,20.1,1538.5
2011,MANSFIELD,01670000,4765.1,177.7,4942.8
2011,MARBLEHEAD,01680000,3243.4,170,3413.4
2011,MARION,01690000,465.1,5.8,470.9
2011,MARLBOROUGH,01700000,4560,462.1,5022.1
2011,MARSHFIELD,01710000,4664.4,98.2,4762.6
2011,"MARTHAS VINEYARD",07000000,683.8,47.2,731
2011,MASCONOMET,07050000,2080.7,38.9,2119.6
2011,MASHPEE,01720000,1767.6,82.9,1850.5
2011,MATTAPOISETT,01730000,525.7,13.1,538.8
2011,MAYNARD,01740000,1308.8,103.2,1412
2011,MEDFIELD,01750000,2921.1,40.7,2961.8
2011,MEDFORD,01760000,4865,460.2,5325.2
2011,MEDWAY,01770000,2638.2,93.7,2731.9
2011,MELROSE,01780000,3727.1,302,4029.1
2011,"MENDON UPTON",07100000,2706.8,118.5,2825.3
2011,METHUEN,01810000,7146.1,206.1,7352.2
2011,MIDDLEBOROUGH,01820000,3431.8,101,3532.8
2011,MIDDLETON,01840000,822.2,8.8,831
2011,MILFORD,01850000,4111.7,224.5,4336.2
2011,MILLBURY,01860000,1824.6,44.1,1868.7
2011,MILLIS,01870000,1447.5,73.4,1520.9
2011,MILTON,01890000,3917.3,67.2,3984.5
2011,MINUTEMAN,08300000,668,3,671
2011,"MOHAWK TRAIL",07170000,1073.4,135.7,1209.1
2011,MONSON,01910000,1333,39.6,1372.6
2011,MONTACHUSETT,08320000,1355,22.9,1377.9
2011,"MOUNT GREYLOCK",07150000,598.9,39.3,638.2
2011,NAHANT,01960000,234.2,154.5,388.7
2011,NANTUCKET,01970000,1285.4,10,1295.4
2011,NARRAGANSETT,07200000,1481.6,123.1,1604.7
2011,NASHOBA,07250000,3462.4,127.2,3589.6
2011,"NASHOBA VALLEY",08520000,691.1,2,693.1
2011,NATICK,01980000,4798.8,158.6,4957.4
2011,NAUSET,06600000,1535.2,147.4,1682.6
2011,NEEDHAM,01990000,5365.8,84.7,5450.5
2011,"NEW BEDFORD",02010000,12630.9,605.6,13236.5
2011,"NEW SALEM WENDELL",07280000,142.1,11.1,153.2
2011,NEWBURYPORT,02040000,2279.3,230.5,2509.8
2011,NEWTON,02070000,11892.1,167.4,12059.5
2011,NORFOLK,02080000,1005.3,15.1,1020.4
2011,"NORFOLK COUNTY",09150000,471.8,0,471.8
2011,"NORTH ADAMS",02090000,1534,198.1,1732.1
2011,"NORTH ANDOVER",02110000,4659.3,97.2,4756.5
2011,"NORTH ATTLEBOROUGH",02120000,4667,125.3,4792.3
2011,"NORTH BROOKFIELD",02150000,601.4,115.9,717.3
2011,"NORTH MIDDLESEX",07350000,3922.6,210.5,4133.1
2011,"NORTH READING",02170000,2671.6,50.2,2721.8
2011,"NORTH SHORE",08540000,457.5,2,459.5
2011,NORTHAMPTON,02100000,2697.3,307.7,3005
2011,"NORTHAMPTON SMITH",04060000,435,0,435
2011,"NORTHBORO SOUTHBORO",07300000,1414.4,23.1,1437.5
2011,NORTHBOROUGH,02130000,1902.9,53.2,1956.1
2011,NORTHBRIDGE,02140000,2539.4,136.2,2675.6
2011,"NORTHEAST METROPOLITAN",08530000,1225.9,1,1226.9
2011,"NORTHERN BERKSHIRE",08510000,488.5,0,488.5
2011,NORTON,02180000,2760.4,269.5,3029.9
2011,NORWELL,02190000,2326.1,23.7,2349.8
2011,NORWOOD,02200000,3415.4,83.8,3499.2
2011,"OAK BLUFFS",02210000,405.1,45,450.1
2011,"OLD COLONY",08550000,548.5,0,548.5
2011,"OLD ROCHESTER",07400000,1165.9,6.5,1172.4
2011,ORANGE,02230000,771.9,28.5,800.4
2011,ORLEANS,02240000,191.9,4.2,196.1
2011,OXFORD,02260000,1988.3,108.3,2096.6
2011,PALMER,02270000,1616,93.1,1709.1
2011,PATHFINDER,08600000,632.3,2.1,634.4
2011,PEABODY,02290000,6150,248.5,6398.5
2011,PELHAM,02300000,122.2,4,126.2
2011,PEMBROKE,02310000,3388.1,72.7,3460.8
2011,PENTUCKET,07450000,3129.4,119,3248.4
2011,PETERSHAM,02340000,111.2,8,119.2
2011,PIONEER,07500000,1074.1,47.1,1121.2
2011,PITTSFIELD,02360000,6068.3,498.6,6566.9
2011,PLAINVILLE,02380000,783,14.1,797.1
2011,PLYMOUTH,02390000,8054.3,484.7,8539
2011,PLYMPTON,02400000,231.7,8.4,240.1
2011,PROVINCETOWN,02420000,125.8,65.6,191.4
2011,QUABBIN,07530000,2856.2,144.9,3001.1
2011,QUABOAG,07780000,1446.6,127,1573.6
2011,QUINCY,02430000,9085.5,176.5,9262
2011,"RALPH C MAHAR",07550000,814.7,121.4,936.1
2011,RANDOLPH,02440000,2933.7,379.6,3313.3
2011,READING,02460000,4439.6,72.2,4511.8
2011,REVERE,02480000,6326.6,250.7,6577.3
2011,RICHMOND,02490000,164.6,85.3,249.9
2011,ROCHESTER,02500000,553.5,18.8,572.3
2011,ROCKLAND,02510000,2269,111.1,2380.1
2011,ROCKPORT,02520000,941,45.7,986.7
2011,ROWE,02530000,64.5,24,88.5
2011,SALEM,02580000,4532.8,392.5,4925.3
2011,SANDWICH,02610000,3421.1,144.1,3565.2
2011,SAUGUS,02620000,2881.4,163.8,3045.2
2011,SAVOY,02630000,45.8,53.6,99.4
2011,SCITUATE,02640000,3241.8,54.1,3295.9
2011,SEEKONK,02650000,2146.9,37.4,2184.3
2011,SHARON,02660000,3458,77.9,3535.9
2011,"SHAWSHEEN VALLEY",08710000,1319.9,17.1,1337
2011,SHERBORN,02690000,432.4,5.9,438.3
2011,SHIRLEY,02700000,777.8,345.8,1123.6
2011,SHREWSBURY,02710000,5918.4,372.4,6290.8
2011,SHUTESBURY,02720000,146.2,7,153.2
2011,"SILVER LAKE",07600000,1916.5,17.6,1934.1
2011,SOMERSET,02730000,2759.7,45.7,2805.4
2011,SOMERVILLE,02740000,4889.9,538,5427.9
2011,"SOUTH HADLEY",02780000,2064.3,171.4,2235.7
2011,"SOUTH MIDDLESEX",08290000,650.6,0,650.6
2011,"SOUTH SHORE",08730000,587.7,1,588.7
2011,SOUTHAMPTON,02750000,561.1,38.8,599.9
2011,SOUTHBOROUGH,02760000,1498.3,46.4,1544.7
2011,SOUTHBRIDGE,02770000,2156.8,252.8,2409.6
2011,SOUTHEASTERN,08720000,1289.6,1,1290.6
2011,"SOUTHERN BERKSHIRE",07650000,863.6,149.4,1013
2011,"SOUTHERN WORCESTER",08760000,1062,30.7,1092.7
2011,"SOUTHWICK TOLLAND",07660000,1718.6,65.7,1784.3
2011,"SPENCER EAST BROOKFIELD",07670000,1978.9,167.5,2146.4
2011,SPRINGFIELD,02810000,24934.8,3863.2,28798
2011,STONEHAM,02840000,2540.9,148.2,2689.1
2011,STOUGHTON,02850000,3798.7,81.8,3880.5
2011,STURBRIDGE,02870000,947.1,21.2,968.3
2011,SUDBURY,02880000,3099.7,55.5,3155.2
2011,SUNDERLAND,02890000,168,31.6,199.6
2011,SUTTON,02900000,1617.9,37.1,1655
2011,SWAMPSCOTT,02910000,2297,67.2,2364.2
2011,SWANSEA,02920000,2044.8,24.5,2069.3
2011,TANTASQUA,07700000,1743.6,43.8,1787.4
2011,TAUNTON,02930000,7919.2,195.1,8114.3
2011,TEWKSBURY,02950000,4023.9,163.3,4187.2
2011,TISBURY,02960000,328.5,78.1,406.6
2011,TOPSFIELD,02980000,654,8.5,662.5
2011,"TRI COUNTY",08780000,976.5,0,976.5
2011,TRITON,07730000,2980.4,295.8,3276.2
2011,TRURO,03000000,146.9,93.1,240
2011,TYNGSBOROUGH,03010000,1925.2,99.9,2025.1
2011,UPISLAND,07740000,315.9,79,394.9
2011,"UPPER CAPE COD",08790000,678.5,0,678.5
2011,UXBRIDGE,03040000,1945.7,226.8,2172.5
2011,WACHUSETT,07750000,7481.4,252.7,7734.1
2011,WAKEFIELD,03050000,3349.6,115.9,3465.5
2011,WALES,03060000,171.1,5,176.1
2011,WALPOLE,03070000,3964.5,60.4,4024.9
2011,WALTHAM,03080000,4715.6,94.9,4810.5
2011,WARE,03090000,1232.9,188.8,1421.7
2011,WAREHAM,03100000,3071.8,96.2,3168
2011,WATERTOWN,03140000,2667.5,127.7,2795.2
2011,WAYLAND,03150000,2696.5,49.4,2745.9
2011,WEBSTER,03160000,1872.6,149.9,2022.5
2011,WELLESLEY,03170000,4905.4,74.4,4979.8
2011,WELLFLEET,03180000,140.7,10.2,150.9
2011,"WEST BOYLSTON",03220000,960,111.7,1071.7
2011,"WEST BRIDGEWATER",03230000,1290.4,21.4,1311.8
2011,"WEST SPRINGFIELD",03320000,3938.4,138.4,4076.8
2011,WESTBOROUGH,03210000,3510.8,61.3,3572.1
2011,WESTFIELD,03250000,5945.8,124.3,6070.1
2011,WESTFORD,03260000,5273.8,64.5,5338.3
2011,WESTHAMPTON,03270000,137.7,20.3,158
2011,WESTON,03300000,2366.3,25.4,2391.7
2011,WESTPORT,03310000,1776.3,36.9,1813.2
2011,WESTWOOD,03350000,3134.8,32,3166.8
2011,WEYMOUTH,03360000,6831.2,179.1,7010.3
2011,WHATELY,03370000,130.7,20.9,151.6
2011,"WHITMAN HANSON",07800000,4357,79.9,4436.9
2011,WHITTIER,08850000,1214,8.8,1222.8
2011,WILLIAMSBURG,03400000,168.4,46.4,214.8
2011,WILLIAMSTOWN,03410000,404.6,5.8,410.4
2011,WILMINGTON,03420000,3756.3,68.3,3824.6
2011,WINCHENDON,03430000,1520.3,180,1700.3
2011,WINCHESTER,03440000,4298,46.3,4344.3
2011,WINTHROP,03460000,1945.3,41.5,1986.8
2011,WOBURN,03470000,4817.3,88.3,4905.6
2011,WORCESTER,03480000,24307.7,2989,27296.7
2011,WRENTHAM,03500000,1193.7,20.8,1214.5
2011,"MASSACHUSETTS TOTAL",00000000,924977.9,59640,984617.9
2010,ABINGTON,00010000,2228.9,77.7,2306.6
2010,ACTON,00020000,2618.5,32.1,2650.6
2010,"ACTON BOXBOROUGH",06000000,2927.6,85.4,3013
2010,ACUSHNET,00030000,1010.4,332.4,1342.8
2010,"ADAMS CHESHIRE",06030000,1551.9,103.8,1655.7
2010,AGAWAM,00050000,4017.2,161,4178.2
2010,AMESBURY,00070000,2398.4,172.6,2571
2010,AMHERST,00080000,1331.1,72.1,1403.2
2010,"AMHERST PELHAM",06050000,1659,129.2,1788.2
2010,ANDOVER,00090000,6223.1,112.2,6335.3
2010,ARLINGTON,00100000,4837.6,132.8,4970.4
2010,"ASHBURNHAM WESTMINSTER",06100000,2377.6,101.6,2479.2
2010,ASHLAND,00140000,2642.8,98.2,2741
2010,"ASSABET VALLEY",08010000,992.4,0,992.4
2010,"ATHOL ROYALSTON",06150000,1662,336.3,1998.3
2010,ATTLEBORO,00160000,5861.9,357.3,6219.2
2010,AUBURN,00170000,2369.8,79.1,2448.9
2010,AVON,00180000,743.8,16,759.8
2010,AYER,00190000,1204.9,149.4,1354.3
2010,BARNSTABLE,00200000,4051.6,1344.4,5396
2010,BEDFORD,00230000,2379.7,113.3,2493
2010,BELCHERTOWN,00240000,2600.1,107.9,2708
2010,BELLINGHAM,00250000,2620.9,139,2759.9
2010,BELMONT,00260000,3965.7,75.6,4041.3
2010,BERKLEY,00270000,924,251.7,1175.7
2010,"BERKSHIRE HILLS",06180000,1375.5,132.6,1508.1
2010,BERLIN,00280000,214.5,9,223.5
2010,"BERLIN BOYLSTON",06200000,439.9,73,512.9
2010,BEVERLY,00300000,4279.4,248.7,4528.1
2010,BILLERICA,00310000,6017.2,291.6,6308.8
2010,"BLACKSTONE MILLVILLE",06220000,2068.2,78,2146.2
2010,"BLACKSTONE VALLEY",08050000,1147.4,2,1149.4
2010,"BLUE HILLS",08060000,836.7,0,836.7
2010,BOSTON,00350000,55957,8811.1,64768.1
2010,BOURNE,00360000,2375,81,2456
2010,BOXBOROUGH,00370000,497,9.1,506.1
2010,BOXFORD,00380000,889.1,11.8,900.9
2010,BOYLSTON,00390000,380.1,41.8,421.9
2010,BRAINTREE,00400000,5454.4,123.1,5577.5
2010,BREWSTER,00410000,488.7,19.4,508.1
2010,"BRIDGEWATER RAYNHAM",06250000,5651.6,136.3,5787.9
2010,BRIMFIELD,00430000,351,3.6,354.6
2010,"BRISTOL COUNTY",09100000,434.9,0,434.9
2010,"BRISTOL PLYMOUTH",08100000,1223.7,2,1225.7
2010,BROCKTON,00440000,15547.8,493.5,16041.3
2010,BROOKFIELD,00450000,305.8,15.1,320.9
2010,BROOKLINE,00460000,6542.8,68.1,6610.9
2010,BURLINGTON,00480000,3711,103.5,3814.5
2010,CAMBRIDGE,00490000,5923.6,467.4,6391
2010,CANTON,00500000,3118.3,60,3178.3
2010,"CAPE COD",08150000,671.8,0,671.8
2010,CARLISLE,00510000,700.7,6,706.7
2010,CARVER,00520000,1899.9,45.3,1945.2
2010,"CENTRAL BERKSHIRE",06350000,2003.5,173.1,2176.6
2010,CHATHAM,00550000,676.4,59.6,736
2010,CHELMSFORD,00560000,5478.2,257,5735.2
2010,CHELSEA,00570000,5622.4,328,5950.4
2010,"CHESTERFIELD GOSHEN",06320000,186,21,207
2010,CHICOPEE,00610000,7775.1,217.1,7992.2
2010,CLARKSBURG,00630000,172.5,75,247.5
2010,CLINTON,00640000,2007.1,211.3,2218.4
2010,COHASSET,00650000,1497.3,26.6,1523.9
2010,CONCORD,00670000,1903.4,54.3,1957.7
2010,"CONCORD CARLISLE",06400000,1243.7,37.8,1281.5
2010,CONWAY,00680000,185.3,14.5,199.8
2010,DANVERS,00710000,3633.3,130.6,3763.9
2010,DARTMOUTH,00720000,3986.1,56.5,4042.6
2010,DEDHAM,00730000,2883.1,96,2979.1
2010,DEERFIELD,00740000,493.4,22.6,516
2010,"DENNIS YARMOUTH",06450000,3283.8,453.1,3736.9
2010,"DIGHTON REHOBOTH",06500000,3249.1,27.9,3277
2010,DOUGLAS,00770000,1766.8,45.5,1812.3
2010,DOVER,00780000,581.2,9.5,590.7
2010,"DOVER SHERBORN",06550000,1139.8,32.5,1172.3
2010,DRACUT,00790000,4119.1,114.1,4233.2
2010,"DUDLEY CHARLTON",06580000,4330.9,88,4418.9
2010,DUXBURY,00820000,3254.6,34.7,3289.3
2010,"EAST BRIDGEWATER",00830000,2381.5,77.9,2459.4
2010,"EAST LONGMEADOW",00870000,2847.1,106.4,2953.5
2010,EASTHAM,00850000,222.1,16.4,238.5
2010,EASTHAMPTON,00860000,1577.5,336.8,1914.3
2010,EASTON,00880000,3932.6,67.9,4000.5
2010,EDGARTOWN,00890000,328.3,75.1,403.4
2010,ERVING,00910000,164.6,126.3,290.9
2010,"ESSEX COUNTY",09130000,456.2,0,456.2
2010,EVERETT,00930000,5965.8,545.6,6511.4
2010,FAIRHAVEN,00940000,1986.6,45.9,2032.5
2010,"FALL RIVER",00950000,9785.9,841.7,10627.6
2010,FALMOUTH,00960000,3748.6,144.8,3893.4
2010,"FARMINGTON RIVER",06620000,148.5,152.3,300.8
2010,FITCHBURG,00970000,4879.3,633.7,5513
2010,FLORIDA,00980000,110.8,18,128.8
2010,FOXBOROUGH,00990000,2848.1,150.1,2998.2
2010,FRAMINGHAM,01000000,8073.7,418.9,8492.6
2010,FRANKLIN,01010000,6136.5,480.5,6617
2010,"FRANKLIN COUNTY",08180000,499.2,1,500.2
2010,FREETOWN,01020000,537.8,79.2,617
2010,"FREETOWN LAKEVILLE",06650000,1912.2,38.6,1950.8
2010,FRONTIER,06700000,705.5,77.7,783.2
2010,GARDNER,01030000,2592.8,186,2778.8
2010,GATEWAY,06720000,1195.1,104,1299.1
2010,GEORGETOWN,01050000,1680.5,55.1,1735.6
2010,"GILL MONTAGUE",06740000,1074.2,238.7,1312.9
2010,GLOUCESTER,01070000,3371.9,286.8,3658.7
2010,GRAFTON,01100000,2879.1,68.3,2947.4
2010,GRANBY,01110000,1136.4,50.8,1187.2
2010,GRANVILLE,01120000,162.3,93.6,255.9
2010,"GREATER FALL RIVER",08210000,1392.5,3,1395.5
2010,"GREATER LAWRENCE",08230000,1171.2,198.4,1369.6
2010,"GREATER LOWELL",08280000,2007.2,52.5,2059.7
2010,"GREATER NEW BEDFORD",08250000,2088.3,1,2089.3
2010,GREENFIELD,01140000,1505.3,518.2,2023.5
2010,"GROTON DUNSTABLE",06730000,2814,112.5,2926.5
2010,HADLEY,01170000,715.5,78.2,793.7
2010,HALIFAX,01180000,657.8,23.4,681.2
2010,"HAMILTON WENHAM",06750000,2002.9,33.7,2036.6
2010,"HAMPDEN WILBRAHAM",06800000,3606.8,95,3701.8
2010,HAMPSHIRE,06830000,819,106.6,925.6
2010,HANCOCK,01210000,41,75.9,116.9
2010,HANOVER,01220000,2712.2,46.3,2758.5
2010,HARVARD,01250000,1272.6,48.7,1321.3
2010,HARWICH,01260000,1313.1,225.7,1538.8
2010,HATFIELD,01270000,460.9,88.4,549.3
2010,HAVERHILL,01280000,6942.6,1145.7,8088.3
2010,HAWLEMONT,06850000,104.4,16.2,120.6
2010,HINGHAM,01310000,4058.8,65.3,4124.1
2010,HOLBROOK,01330000,1161.1,74.5,1235.6
2010,HOLLAND,01350000,250.3,2.3,252.6
2010,HOLLISTON,01360000,2869.4,72.5,2941.9
2010,HOLYOKE,01370000,5756.7,837.5,6594.2
2010,HOPEDALE,01380000,1314.9,60.3,1375.2
2010,HOPKINTON,01390000,3440.9,80,3520.9
2010,HUDSON,01410000,3076.9,93.7,3170.6
2010,HULL,01420000,1199.9,87.4,1287.3
2010,IPSWICH,01440000,2131.8,23.6,2155.4
2010,"KING PHILIP",06900000,2045,92.3,2137.3
2010,KINGSTON,01450000,1184.6,41.4,1226
2010,LAKEVILLE,01460000,744.9,15.1,760
2010,LANESBOROUGH,01480000,276.3,28.7,305
2010,LAWRENCE,01490000,12442.1,1220.9,13663
2010,LEE,01500000,831.3,82.6,913.9
2010,LEICESTER,01510000,1881.7,113,1994.7
2010,LENOX,01520000,820.5,48.3,868.8
2010,LEOMINSTER,01530000,6251.7,406,6657.7
2010,LEVERETT,01540000,164.4,6.6,171
2010,LEXINGTON,01550000,6231,73.1,6304.1
2010,LINCOLN,01570000,1036.1,7.6,1043.7
2010,"LINCOLN SUDBURY",06950000,1583.2,33.9,1617.1
2010,LITTLETON,01580000,1607.6,137.1,1744.7
2010,LONGMEADOW,01590000,3077.6,53.8,3131.4
2010,LOWELL,01600000,13553.6,1251.1,14804.7
2010,LUDLOW,01610000,3004.4,93.3,3097.7
2010,LUNENBURG,01620000,1719.2,89.7,1808.9
2010,LYNN,01630000,13359.2,741.5,14100.7
2010,LYNNFIELD,01640000,2333.4,36.7,2370.1
2010,MALDEN,01650000,6408.4,708.5,7116.9
2010,"MANCHESTER ESSEX",06980000,1457.2,21.7,1478.9
2010,MANSFIELD,01670000,4920.3,182.8,5103.1
2010,MARBLEHEAD,01680000,3255.2,123.7,3378.9
2010,MARION,01690000,444.5,4.6,449.1
2010,MARLBOROUGH,01700000,4586.3,411.2,4997.5
2010,MARSHFIELD,01710000,4736.1,90.7,4826.8
2010,"MARTHAS VINEYARD",07000000,700.2,52.9,753.1
2010,MASCONOMET,07050000,2082.8,47.3,2130.1
2010,MASHPEE,01720000,1811.5,69.6,1881.1
2010,MATTAPOISETT,01730000,519.4,9.6,529
2010,MAYNARD,01740000,1331.9,100.4,1432.3
2010,MEDFIELD,01750000,3004.3,35.9,3040.2
2010,MEDFORD,01760000,4847.6,429.9,5277.5
2010,MEDWAY,01770000,2681.9,90.3,2772.2
2010,MELROSE,01780000,3756.3,285.1,4041.4
2010,"MENDON UPTON",07100000,2831.1,96.2,2927.3
2010,METHUEN,01810000,7273.4,194.6,7468
2010,MIDDLEBOROUGH,01820000,3469.7,107.4,3577.1
2010,MIDDLETON,01840000,858,13.5,871.5
2010,MILFORD,01850000,4050.1,210.8,4260.9
2010,MILLBURY,01860000,1872.3,35.5,1907.8
2010,MILLIS,01870000,1431,62,1493
2010,MILTON,01890000,3948.2,68.9,4017.1
2010,MINUTEMAN,08300000,620.7,2.5,623.2
2010,"MOHAWK TRAIL",07170000,1025.8,125.4,1151.2
2010,MONSON,01910000,1401.8,36,1437.8
2010,MONTACHUSETT,08320000,1323.3,29,1352.3
2010,"MOUNT GREYLOCK",07150000,631,35.3,666.3
2010,NAHANT,01960000,227.1,175.2,402.3
2010,NANTUCKET,01970000,1231.9,10.7,1242.6
2010,NARRAGANSETT,07200000,1574.5,128.2,1702.7
2010,NASHOBA,07250000,3405.9,132.5,3538.4
2010,"NASHOBA VALLEY",08520000,694,1,695
2010,NATICK,01980000,4737.5,164.6,4902.1
2010,NAUSET,06600000,1520.9,157.6,1678.5
2010,NEEDHAM,01990000,5334.7,75.7,5410.4
2010,"NEW BEDFORD",02010000,12602.1,589.5,13191.6
2010,"NEW SALEM WENDELL",07280000,136.5,11.5,148
2010,NEWBURYPORT,02040000,2267.4,231.7,2499.1
2010,NEWTON,02070000,11714.9,148.6,11863.5
2010,NORFOLK,02080000,1070.9,16.6,1087.5
2010,"NORFOLK COUNTY",09150000,464.6,0,464.6
2010,"NORTH ADAMS",02090000,1568.9,183.9,1752.8
2010,"NORTH ANDOVER",02110000,4623.3,97.6,4720.9
2010,"NORTH ATTLEBOROUGH",02120000,4723,136.4,4859.4
2010,"NORTH BROOKFIELD",02150000,635.1,130.2,765.3
2010,"NORTH MIDDLESEX",07350000,4075.6,202.4,4278
2010,"NORTH READING",02170000,2742.2,50.4,2792.6
2010,"NORTH SHORE",08540000,442.9,4.6,447.5
2010,NORTHAMPTON,02100000,2699.7,290.6,2990.3
2010,"NORTHAMPTON SMITH",04060000,452.4,0,452.4
2010,"NORTHBORO SOUTHBORO",07300000,1385.8,33,1418.8
2010,NORTHBOROUGH,02130000,1882.1,54.8,1936.9
2010,NORTHBRIDGE,02140000,2497.7,166,2663.7
2010,"NORTHEAST METROPOLITAN",08530000,1223.6,0.5,1224.1
2010,"NORTHERN BERKSHIRE",08510000,502.2,0.5,502.7
2010,NORTON,02180000,2834.2,265.9,3100.1
2010,NORWELL,02190000,2337.6,31.5,2369.1
2010,NORWOOD,02200000,3462.9,88.5,3551.4
2010,"OAK BLUFFS",02210000,416.6,55.8,472.4
2010,"OLD COLONY",08550000,563.5,0,563.5
2010,"OLD ROCHESTER",07400000,1152.9,7.5,1160.4
2010,ORANGE,02230000,817.1,30.5,847.6
2010,ORLEANS,02240000,187.6,1.1,188.7
2010,OXFORD,02260000,2034.9,121,2155.9
2010,PALMER,02270000,1743.2,78.8,1822
2010,PATHFINDER,08600000,651.2,3,654.2
2010,PEABODY,02290000,6129.8,231.1,6360.9
2010,PELHAM,02300000,125.3,3,128.3
2010,PEMBROKE,02310000,3432.7,90,3522.7
2010,PENTUCKET,07450000,3235.2,129.5,3364.7
2010,PETERSHAM,02340000,107.6,11.2,118.8
2010,PIONEER,07500000,1109.3,48.3,1157.6
2010,PITTSFIELD,02360000,6132.1,457.2,6589.3
2010,PLAINVILLE,02380000,787,18.5,805.5
2010,PLYMOUTH,02390000,8182.2,469,8651.2
2010,PLYMPTON,02400000,247.4,7.5,254.9
2010,PROVINCETOWN,02420000,156.6,58.2,214.8
2010,QUABBIN,07530000,3001.4,139.7,3141.1
2010,QUABOAG,07780000,1436.2,104.5,1540.7
2010,QUINCY,02430000,8932.1,162.5,9094.6
2010,"RALPH C MAHAR",07550000,769.1,137.5,906.6
2010,RANDOLPH,02440000,2885.1,355.8,3240.9
2010,READING,02460000,4376.3,81.3,4457.6
2010,REVERE,02480000,6174.2,259.5,6433.7
2010,RICHMOND,02490000,170.6,86.9,257.5
2010,ROCHESTER,02500000,603.8,13,616.8
2010,ROCKLAND,02510000,2303.4,117.5,2420.9
2010,ROCKPORT,02520000,976.5,38.4,1014.9
2010,ROWE,02530000,66,20.7,86.7
2010,SALEM,02580000,4492.5,408.4,4900.9
2010,SANDWICH,02610000,3564.2,129.1,3693.3
2010,SAUGUS,02620000,2891.4,158.7,3050.1
2010,SAVOY,02630000,40.2,56.3,96.5
2010,SCITUATE,02640000,3218.4,62.9,3281.3
2010,SEEKONK,02650000,2147.7,39.4,2187.1
2010,SHARON,02660000,3436,83.4,3519.4
2010,"SHAWSHEEN VALLEY",08710000,1290.8,10,1300.8
2010,SHERBORN,02690000,452.6,9.5,462.1
2010,SHIRLEY,02700000,536.6,383.8,920.4
2010,SHREWSBURY,02710000,5804.3,327.2,6131.5
2010,SHUTESBURY,02720000,151.2,5,156.2
2010,"SILVER LAKE",07600000,1904,24.2,1928.2
2010,SOMERSET,02730000,2709.3,43.9,2753.2
2010,SOMERVILLE,02740000,4880.4,454.6,5335
2010,"SOUTH HADLEY",02780000,2105.6,165.2,2270.8
2010,"SOUTH MIDDLESEX",08290000,634.8,0.5,635.3
2010,"SOUTH SHORE",08730000,585.7,0,585.7
2010,SOUTHAMPTON,02750000,565.6,44.7,610.3
2010,SOUTHBOROUGH,02760000,1557.2,53.5,1610.7
2010,SOUTHBRIDGE,02770000,2122.3,233.6,2355.9
2010,SOUTHEASTERN,08720000,1295.3,0,1295.3
2010,"SOUTHERN BERKSHIRE",07650000,895,167,1062
2010,"SOUTHERN WORCESTER",08760000,1099.8,27.7,1127.5
2010,"SOUTHWICK TOLLAND",07660000,1789.5,72.1,1861.6
2010,"SPENCER EAST BROOKFIELD",07670000,1969,164,2133
2010,SPRINGFIELD,02810000,24987.3,3920.4,28907.7
2010,STONEHAM,02840000,2654.1,132.5,2786.6
2010,STOUGHTON,02850000,3803.9,83,3886.9
2010,STURBRIDGE,02870000,932.2,21.9,954.1
2010,SUDBURY,02880000,3159.6,54.3,3213.9
2010,SUNDERLAND,02890000,181.2,34.3,215.5
2010,SUTTON,02900000,1639.4,38.1,1677.5
2010,SWAMPSCOTT,02910000,2287.9,87,2374.9
2010,SWANSEA,02920000,2083.6,41,2124.6
2010,TANTASQUA,07700000,1757.6,59,1816.6
2010,TAUNTON,02930000,7947.1,234.4,8181.5
2010,TEWKSBURY,02950000,4209.3,115.9,4325.2
2010,TISBURY,02960000,306.4,81.7,388.1
2010,TOPSFIELD,02980000,670.1,10.7,680.8
2010,"TRI COUNTY",08780000,993.5,0,993.5
2010,TRITON,07730000,3075.2,333.9,3409.1
2010,TRURO,03000000,147.5,101.3,248.8
2010,TYNGSBOROUGH,03010000,2025.2,81.4,2106.6
2010,UPISLAND,07740000,322.8,80.3,403.1
2010,"UPPER CAPE COD",08790000,679.7,0,679.7
2010,UXBRIDGE,03040000,1997.6,249.3,2246.9
2010,WACHUSETT,07750000,7433.9,258.2,7692.1
2010,WAKEFIELD,03050000,3350.6,115,3465.6
2010,WALES,03060000,168.7,4.8,173.5
2010,WALPOLE,03070000,3959.1,74.1,4033.2
2010,WALTHAM,03080000,4768.6,95.6,4864.2
2010,WARE,03090000,1269.1,181.1,1450.2
2010,WAREHAM,03100000,3158.4,76.8,3235.2
2010,WATERTOWN,03140000,2611.9,141.5,2753.4
2010,WAYLAND,03150000,2734.9,42.6,2777.5
2010,WEBSTER,03160000,1939.2,126.6,2065.8
2010,WELLESLEY,03170000,4719.3,80.5,4799.8
2010,WELLFLEET,03180000,139.4,13,152.4
2010,"WEST BOYLSTON",03220000,1009.4,91.9,1101.3
2010,"WEST BRIDGEWATER",03230000,1292.5,22.2,1314.7
2010,"WEST SPRINGFIELD",03320000,3964.3,134.1,4098.4
2010,WESTBOROUGH,03210000,3577.2,57.7,3634.9
