,,,,"Actual NSS Above Foundation",,"Actual NSS Above Required Net School Spending",
SY,"Org Name","Org Code","Actual Net School Spending","Foundation Budget","Percent Above","Required NSS Budget","Percent Above"
2012,Dracut,00790000,36285837,35260307,0.03,35260307,0.03
2012,Dudley-Charlton,06580000,36640120,35694097,0.03,36156094,0.01
2012,Dunstable,00810000,0,12250,-1,12852,-1
2012,Duxbury,00820000,31977458,26802911,0.19,28301955,0.13
2012,"East Bridgewater",00830000,20618554,19386080,0.06,19666212,0.05
2012,"East Brookfield",00840000,139431,110251,0.27,114255,0.22
2012,"East Longmeadow",00870000,29948456,24105913,0.24,24105913,0.24
2012,Eastham,00850000,4332010,1921168,1.25,2295096,0.89
2012,Easthampton,00860000,18473318,16577826,0.11,17762698,0.04
2012,Easton,00880000,37802147,32076583,0.18,32631052,0.16
2012,Edgartown,00890000,8127798,3286331,1.47,3452384,1.35
2012,Egremont,00900000,5211,0,0,0," %"
2012,Erving,00910000,3709434,2407930,0.54,2454043,0.51
2012,"Essex Agricultural Technical",09130000,9023453,6752847,0.34,8669723,0.04
2012,Everett,00930000,72519941,68020957,0.07,68020957,0.07
2012,Fairhaven,00940000,19644311,17104751,0.15,17535223,0.12
2012,"Fall River",00950000,115012502,113992340,0.01,113992340,0.01
2012,Falmouth,00960000,47924810,32627799,0.47,35070492,0.37
2012,"Farmington River",06620000,3378409,2507654,0.35,2541528,0.33
2012,Fitchburg,00970000,54527450,55048365,-0.01,55048365,-0.01
2012,Florida,00980000,1180850,784589,0.51,913489,0.29
2012,Foxborough,00990000,33800571,25263537,0.34,26852154,0.26
2012,Framingham,01000000,113516129,79535372,0.43,79535372,0.43
2012,Franklin,01010000,61017525,55195446,0.11,56131079,0.09
2012,"Franklin County Regional Vocational Technical",08180000,7903701,6816703,0.16,6904593,0.14
2012,Freetown,01020000,1575897,1172044,0.35,1187827,0.33
2012,Freetown-Lakeville,06650000,26975257,25567244,0.06,27187129,-0.01
2012,Frontier,06700000,9214346,5922687,0.56,7319375,0.26
2012,Gardner,01030000,24541777,24492666,0,24826372,-0.01
2012,Gateway,06720000,12655426,10684938,0.18,11530844,0.1
2012,Georgetown,01050000,15113037,13112601,0.15,13206660,0.14
2012,Gill,01060000,7000,0,0,0," %"
2012,Gill-Montague,06740000,14483106,10890170,0.33,11290598,0.28
2012,Gloucester,01070000,41867969,33676198,0.24,35528705,0.18
2012,Goshen,01080000,234376,110251,1.13,167498,0.4
2012,Gosnold,01090000,129883,39039,2.33,51631,1.52
2012,Grafton,01100000,25102221,23744712,0.06,24094666,0.04
2012,Granby,01110000,9322996,8744249,0.07,8944223,0.04
2012,Granville,01120000,3167091,2103436,0.51,2543491,0.25
2012,"Greater Fall River Regional Vocational Technical",08210000,20161334,20383237,-0.01,20756801,-0.03
