,,,,"Actual NSS Above Foundation",,"Actual NSS Above Required Net School Spending",
SY,"Org Name","Org Code","Actual Net School Spending","Foundation Budget","Percent Above","Required NSS Budget","Percent Above"
2011,Ashby,00120000,0,36107,-1,36107,-1
2011,Ashfield,00130000,0,227707,-1,241111,-1
2011,Ashland,00140000,26936774,21499028,0.25,21649186,0.24
2011,"Assabet Valley Regional Vocational Technical",08010000,10741062,9970968,0.08,9994694,0.08
2011,Athol-Royalston,06150000,20686448,17923395,0.15,18984648,0.09
2011,Attleboro,00160000,57635931,57958272,-0.01,57940009,-0.01
2011,Auburn,00170000,25741127,20652529,0.25,20526135,0.25
2011,Avon,00180000,7413572,5003300,0.48,5495502,0.35
2011,Ayer,00190000,13225802,10181600,0.3,10348646,0.28
2011,"Ayer Shirley",06160000,9418,0,0,0," %"
2011,Barnstable,00200000,58404917,49664768,0.18,52082556,0.12
2011,Becket,00220000,0,155492,-1,218948,-1
2011,Bedford,00230000,36413757,22281982,0.63,23005120,0.58
2011,Belchertown,00240000,24355559,22816368,0.07,22945928,0.06
2011,Bellingham,00250000,24803040,21918230,0.13,22056417,0.13
2011,Belmont,00260000,39110697,32919934,0.19,33668585,0.16
2011,Berkley,00270000,9565037,8665044,0.1,9144556,0.05
2011,"Berkshire Hills",06180000,16054483,9969549,0.61,12130947,0.32
2011,Berlin,00280000,3252622,1521296,1.14,1865147,0.74
2011,Berlin-Boylston,06200000,6074867,3748889,0.62,4212342,0.44
2011,Bernardston,00290000,0,24072,-1,24199,-1
2011,Beverly,00300000,47014479,38562013,0.22,40721852,0.16
2011,Billerica,00310000,65693156,48993356,0.34,50544438,0.3
2011,Blackstone,00320000,0,84251,-1,122720,-1
2011,"Blackstone Valley Regional Vocational Technical",08050000,15852633,16047787,-0.01,16004479,-0.01
2011,Blackstone-Millville,06220000,18225051,17631669,0.03,17790189,0.02
2011,Blandford,00330000,0,84251,-1,98207,-1
2011,"Blue Hills Regional Vocational Technical",08060000,13918366,12217672,0.14,12820015,0.09
2011,Boston,00350000,805454067,680748415,0.18,731716427,0.1
2011,Bourne,00360000,24494292,19969977,0.23,21476522,0.14
2011,Boxborough,00370000,5728237,3719556,0.54,4306671,0.33
2011,Boxford,00380000,9288934,6426161,0.45,7082606,0.31
2011,Boylston,00390000,3913512,2900473,0.35,3005338,0.3
2011,Braintree,00400000,52535384,45861987,0.15,46582593,0.13
2011,Brewster,00410000,7227649,4075131,0.77,4670135,0.55
2011,Bridgewater,00420000,0,36107,-1,57071,-1
2011,Bridgewater-Raynham,06250000,53860067,47983788,0.12,48500242,0.11
2011,Brimfield,00430000,3491088,2491981,0.4,2517852,0.39
2011,"Bristol County Agricultural",09100000,5493411,5285460,0.04,5659674,-0.03
2011,"Bristol-Plymouth Regional Vocational Technical",08100000,17029394,17171584,-0.01,16987247,0
2011,Brockton,00440000,164985242,165226028,0,163765541,0.01
2011,Brookfield,00450000,3090715,2318728,0.33,2293372,0.35
2011,Brookline,00460000,90729035,55383764,0.64,59137816,0.53
2011,Buckland,00470000,0,12036,-1,12036,-1
2011,Burlington,00480000,48481792,32935307,0.47,35159248,0.38
2011,Cambridge,00490000,149863284,63289438,1.37,79496023,0.89
2011,Canton,00500000,36638211,26442325,0.39,26760624,0.37
2011,"Cape Cod Regional Vocational Technical",08150000,11601277,9662450,0.2,10732648,0.08
2011,Carlisle,00510000,9555462,5332769,0.79,5781005,0.65
2011,Carver,00520000,19925111,16524124,0.21,17283865,0.15
2011,"Central Berkshire",06350000,22565336,17732901,0.27,18337240,0.23
2011,Charlemont,00530000,0,96287,-1,144468,-1
2011,Charlton,00540000,0,12036,-1,12164,-1
2011,Chatham,00550000,9868216,4739535,1.08,5748125,0.72
2011,Chelmsford,00560000,53511029,45545882,0.18,47234508,0.13
2011,Chelsea,00570000,60279437,63666524,-0.05,62277558,-0.03
2011,Cheshire,00580000,0,479486,-1,496433,-1
2011,Chester,00590000,0,167528,-1,198886,-1
2011,Chesterfield,00600000,0,179564,-1,216864,-1
2011,Chesterfield-Goshen,06320000,1778501,1401680,0.27,1457664,0.22
2011,Chicopee,00610000,78920101,78296360,0.01,77295021,0.02
2011,Clarksburg,00630000,2412758,2231782,0.08,2284057,0.06
2011,Clinton,00640000,20276040,19382689,0.05,19379799,0.05
2011,Cohasset,00650000,16818153,11786895,0.43,12129781,0.39
2011,Concord,00670000,28972551,14880066,0.95,16201039,0.79
2011,Concord-Carlisle,06400000,20881646,12226663,0.71,13387166,0.56
2011,Conway,00680000,1834879,1249386,0.47,1595310,0.15
2011,Cummington,00690000,0,203636,-1,224009,-1
2011,Dalton,00700000,0,275850,-1,336755,-1
2011,Danvers,00710000,40849418,31223555,0.31,31599221,0.29
2011,Dartmouth,00720000,36645279,33815805,0.08,35836514,0.02
2011,Dedham,00730000,38284445,25207774,0.52,27267834,0.4
2011,Deerfield,00740000,4488878,3310479,0.36,3624061,0.24
2011,Dennis-Yarmouth,06450000,43283111,33550155,0.29,35642327,0.21
2011,Dighton-Rehoboth,06500000,31467206,27227095,0.16,28647401,0.1
2011,Douglas,00770000,13940871,13727725,0.02,13592035,0.03
2011,Dover,00780000,8368099,4717532,0.77,4940386,0.69
2011,Dover-Sherborn,06550000,16262930,10131212,0.61,10607934,0.53
2011,Dracut,00790000,35549374,34827941,0.02,35179266,0.01
2011,Dudley-Charlton,06580000,36446654,35729460,0.02,35648685,0.02
2011,Dunstable,00810000,0,12036,-1,12036,-1
2011,Duxbury,00820000,31218797,26964190,0.16,28051492,0.11
2011,"East Bridgewater",00830000,20441305,19438424,0.05,19455969,0.05
2011,"East Brookfield",00840000,0,60179,-1,80075,-1
2011,"East Longmeadow",00870000,28755128,23669360,0.22,23499643,0.22
2011,Eastham,00850000,4297264,2017979,1.13,2392805,0.8
2011,Easthampton,00860000,18578991,16500250,0.13,17477531,0.06
2011,Easton,00880000,37020630,31588230,0.17,32023817,0.16
2011,Edgartown,00890000,7935518,3164477,1.51,3433360,1.31
2011,Erving,00910000,3786587,2428316,0.56,2438864,0.55
2011,"Essex Agricultural Technical",09130000,8971425,6409352,0.4,8361980,0.07
2011,Everett,00930000,66590971,64793932,0.03,64048761,0.04
2011,Fairhaven,00940000,18901189,16843034,0.12,17366753,0.09
2011,"Fall River",00950000,109529068,110588545,-0.01,109244245,0
2011,Falmouth,00960000,47357767,32249709,0.47,35115272,0.35
2011,"Farmington River",06620000,3246236,2284470,0.42,2476272,0.31
2011,Fitchburg,00970000,54506032,54357221,0,53663826,0.02
2011,Florida,00980000,1156227,920527,0.26,910225,0.27
2011,Foxborough,00990000,33059155,25261530,0.31,26029420,0.27
2011,Framingham,01000000,111442860,77781484,0.43,77397386,0.44
2011,Franklin,01010000,59039979,54564219,0.08,55222105,0.07
2011,"Franklin County Regional Vocational Technical",08180000,7785594,6832234,0.14,6816596,0.14
2011,Freetown,01020000,6259925,4935673,0.27,4906830,0.28
2011,Freetown-Lakeville,06650000,17675367,16531201,0.07,17667367,0
2011,Frontier,06700000,8990102,5993206,0.5,7284926,0.23
2011,Gardner,01030000,23852114,24334327,-0.02,24185820,-0.01
2011,Gateway,06720000,12901248,11136860,0.16,11499617,0.12
2011,Georgetown,01050000,13229001,12957759,0.02,13219414,0
2011,Gill-Montague,06740000,14506336,10709037,0.36,11167007,0.3
2011,Gloucester,01070000,40730257,33723506,0.21,35098521,0.16
2011,Goshen,01080000,0,167528,-1,185202,-1
2011,Gosnold,01090000,0,28361,-1,51050,-1
2011,Grafton,01100000,23759046,23187154,0.03,23623618,0.01
2011,Granby,01110000,9379139,8636188,0.09,8788986,0.07
2011,Granville,01120000,3144432,2244631,0.4,2507320,0.25
2011,"Greater Fall River Regional Vocational Technical",08210000,20087141,19949614,0.01,20325602,-0.01
2011,"Greater Lawrence Regional Vocational Technical",08230000,23048010,21516841,0.07,23661166,-0.03
2011,"Greater Lowell Regional Vocational Technical",08280000,30241825,30423898,-0.01,30017283,0.01
2011,"Greater New Bedford Regional Vocational Technical",08250000,31322148,30298830,0.03,29873519,0.05
2011,Greenfield,01140000,22050716,18168642,0.21,18141980,0.22
2011,Groton,01150000,0,12362,-1,12362,-1
2011,Groton-Dunstable,06730000,28038150,22939192,0.22,26653999,0.05
2011,Hadley,01170000,6334104,5658506,0.12,5667216,0.12
2011,Halifax,01180000,6411717,5481069,0.17,5640258,0.14
2011,Hamilton-Wenham,06750000,24814430,16099995,0.54,17118690,0.45
2011,Hampden-Wilbraham,06800000,33859212,29974197,0.13,30003102,0.13
2011,Hampshire,06830000,9688074,7104748,0.36,7304904,0.33
2011,Hancock,01210000,1098802,790174,0.39,957836,0.15
2011,Hanover,01220000,25205977,21774380,0.16,22233174,0.13
2011,Hanson,01230000,0,48143,-1,48143,-1
2011,Harvard,01250000,13492202,9724196,0.39,10261914,0.32
2011,Harwich,01260000,19034998,12195817,0.56,12928899,0.47
2011,Hatfield,01270000,4505736,3258632,0.38,3755888,0.2
2011,Haverhill,01280000,70745120,70567492,0,69890188,0.01
2011,Hawlemont,06850000,1417237,943708,0.5,1076295,0.32
2011,Hawley,01290000,0,60179,-1,60179,-1
2011,Hingham,01310000,37696512,32995448,0.14,33063832,0.14
2011,Hinsdale,01320000,0,179564,-1,213801,-1
2011,Holbrook,01330000,13763413,10564226,0.3,11271461,0.22
2011,Holland,01350000,2361480,1871122,0.26,1959102,0.21
2011,Holliston,01360000,28985217,22575963,0.28,23212298,0.25
2011,Holyoke,01370000,73992585,73138531,0.01,73188969,0.01
2011,Hopedale,01380000,10980074,9332695,0.18,10536945,0.04
2011,Hopkinton,01390000,36649271,29092218,0.26,30192644,0.21
2011,Hudson,01410000,32371058,25192998,0.28,25023377,0.29
2011,Hull,01420000,14885510,11155892,0.33,13389482,0.11
2011,Huntington,01430000,0,360101,-1,380017,-1
2011,Ipswich,01440000,19854821,16906352,0.17,16939538,0.17
2011,"King Philip",06900000,22111458,18766472,0.18,19643938,0.13
2011,Kingston,01450000,10650655,9993589,0.07,9919228,0.07
2011,Lakeville,01460000,6481123,5533651,0.17,5527136,0.17
2011,Lanesborough,01480000,3217534,2101664,0.53,2181331,0.48
2011,Lawrence,01490000,142593040,144327894,-0.01,142498359,0
2011,Lee,01500000,9648238,6834255,0.41,7164733,0.35
2011,Leicester,01510000,17263750,16141548,0.07,16345752,0.06
2011,Lenox,01520000,10594680,5692630,0.86,6562964,0.61
2011,Leominster,01530000,60842177,61830792,-0.02,61290922,-0.01
2011,Leverett,01540000,2063204,1122117,0.84,1203484,0.71
2011,Lexington,01550000,93091837,53450234,0.74,56820560,0.64
2011,Lincoln,01570000,11110740,5740716,0.94,5877812,0.89
2011,Lincoln-Sudbury,06950000,22618453,15640388,0.45,16106910,0.4
2011,Littleton,01580000,18208238,13640184,0.34,13859150,0.31
2011,Longmeadow,01590000,33213949,24685139,0.35,25409083,0.31
2011,Lowell,01600000,153200851,151465732,0.01,149225889,0.03
2011,Ludlow,01610000,30250528,26588449,0.14,26339246,0.15
2011,Lunenburg,01620000,15548411,13414483,0.16,13334963,0.17
2011,Lynn,01630000,149872052,152859295,-0.02,150645950,-0.01
2011,Lynnfield,01640000,23161245,19103918,0.21,20063873,0.15
2011,Malden,01650000,70516069,69445050,0.02,68723301,0.03
2011,"Manchester Essex",06980000,17185149,11219611,0.53,11255333,0.53
2011,Mansfield,01670000,42296065,42531300,-0.01,42183509,0
2011,Marblehead,01680000,37342159,26691564,0.4,27046072,0.38
2011,Marion,01690000,5222731,3153015,0.66,3360948,0.55
2011,Marlborough,01700000,57917240,46421470,0.25,46165954,0.26
2011,Marshfield,01710000,43781859,39637274,0.11,40534685,0.08
2011,"Marthas Vineyard",07000000,14181085,7689159,0.84,10031651,0.41
2011,Masconomet,07050000,23489066,18612164,0.26,20698590,0.14
2011,Mashpee,01720000,22780491,16336475,0.39,18362684,0.24
2011,Mattapoisett,01730000,6501916,3799147,0.71,4016579,0.62
2011,Maynard,01740000,15597212,12064503,0.29,11995732,0.3
2011,Medfield,01750000,28909460,24403977,0.19,25894721,0.12
2011,Medford,01760000,58370945,49632982,0.18,52984879,0.1
2011,Medway,01770000,26645032,22310016,0.19,22697539,0.17
2011,Melrose,01780000,33234145,32186377,0.03,32611892,0.02
2011,Mendon,01790000,0,36523,-1,43571,-1
2011,Mendon-Upton,07100000,23709894,22132248,0.07,22368215,0.06
2011,Methuen,01810000,67693209,67174267,0.01,70765265,-0.04
2011,Middleborough,01820000,32858411,31398533,0.05,31227906,0.05
2011,Middlefield,01830000,0,36107,-1,36107,-1
2011,Middleton,01840000,8571237,6158787,0.39,6730309,0.27
2011,Milford,01850000,42474621,37839983,0.12,37546724,0.13
2011,Millbury,01860000,20217062,16354316,0.24,16616199,0.22
2011,Millis,01870000,13156053,11328954,0.16,11398970,0.15
2011,Millville,01880000,0,60179,-1,60179,-1
2011,Milton,01890000,39203433,33177678,0.18,33436960,0.17
2011,"Minuteman Regional Vocational Technical",08300000,10219772,6278769,0.63,7498801,0.36
2011,"Mohawk Trail",07170000,14623586,10304180,0.42,11585950,0.26
2011,Monroe,01900000,0,87282,-1,155289,-1
2011,Monson,01910000,12610035,12214501,0.03,12323479,0.02
2011,"Montachusett Regional Vocational Technical",08320000,19143132,19087951,0,18849719,0.02
2011,Montgomery,01940000,0,36107,-1,46043,-1
2011,"Mount Greylock",07150000,9014925,4954696,0.82,5770320,0.56
2011,"Mount Washington",01950000,0,126343,-1,145113,-1
2011,Nahant,01960000,3302258,3009436,0.1,3111787,0.06
2011,Nantucket,01970000,23960687,10295374,1.33,12198081,0.96
2011,Narragansett,07200000,16410877,13273696,0.24,14104767,0.16
2011,Nashoba,07250000,37467899,27791844,0.35,28401908,0.32
2011,"Nashoba Valley Regional Vocational Technical",08520000,8178658,8233341,-0.01,8173070,0
2011,Natick,01980000,51695851,41207447,0.26,42514754,0.22
2011,Nauset,06600000,20753943,12466861,0.67,15348897,0.35
2011,Needham,01990000,63257173,44582496,0.42,44578337,0.42
2011,"New Ashford",02000000,0,360382,-1,360382,-1
2011,"New Bedford",02010000,128008910,126977747,0.01,127887659,0
2011,"New Salem-Wendell",07280000,1711658,1039961,0.65,1245763,0.37
2011,Newburyport,02040000,27681568,18957047,0.46,20560427,0.35
2011,Newton,02070000,171589198,105360169,0.63,107307433,0.6
2011,Norfolk,02080000,10414690,7969865,0.31,9314422,0.12
2011,"Norfolk County Agricultural",09150000,3956208,3636173,0.09,3662997,0.08
2011,"North Adams",02090000,18533308,15476062,0.2,17741162,0.05
2011,"North Andover",02110000,44918069,37806576,0.19,38656495,0.16
2011,"North Attleborough",02120000,41987343,39026226,0.08,40806864,0.03
2011,"North Brookfield",02150000,7019013,6139849,0.14,6719186,0.05
2011,"North Middlesex",07350000,38155402,34774968,0.1,35513005,0.07
2011,"North Reading",02170000,27123592,22639942,0.2,23699465,0.14
2011,"North Shore Regional Vocational Technical",08540000,8624337,6438151,0.34,6779826,0.27
2011,Northampton,02100000,29017944,24684605,0.18,26341864,0.1
2011,"Northampton-Smith Vocational Agricultural",04060000,2211537,2230338,-0.01,2773653,-0.2
2011,Northboro-Southboro,07300000,15751545,13069614,0.21,13330333,0.18
2011,Northborough,02130000,21166985,14386024,0.47,14517858,0.46
2011,Northbridge,02140000,23829934,22038685,0.08,21775636,0.09
2011,"Northeast Metropolitan Regional Vocational Technical",08530000,17200443,18075511,-0.05,18191170,-0.05
2011,"Northern Berkshire Regional Vocational Technical",08510000,6139411,6194470,-0.01,6132471,0
2011,Norton,02180000,28492204,24934930,0.14,26258910,0.09
2011,Norwell,02190000,22766084,19154668,0.19,19405174,0.17
2011,Norwood,02200000,41058649,31939204,0.29,33431378,0.23
2011,"Oak Bluffs",02210000,7720571,3315881,1.33,3506472,1.2
2011,Oakham,02220000,0,203636,-1,203636,-1
2011,"Old Colony Regional Vocational Technical",08550000,6824891,6779948,0.01,6976857,-0.02
2011,"Old Rochester",07400000,14024268,9726309,0.44,9947823,0.41
2011,Orange,02230000,6700667,6697536,0,7150275,-0.06
2011,Orleans,02240000,4475839,1471893,2.04,1733438,1.58
2011,Oxford,02260000,19187832,17925539,0.07,17741838,0.08
2011,Palmer,02270000,17141518,16420213,0.04,16794849,0.02
2011,"Pathfinder Regional Vocational Technical",08600000,9760286,8060376,0.21,7966993,0.23
2011,Peabody,02290000,63642501,57582047,0.11,59849173,0.06
2011,Pelham,02300000,1356450,663890,1.04,696919,0.95
2011,Pembroke,02310000,29792155,29225596,0.02,29417928,0.01
2011,Pentucket,07450000,29580693,25398255,0.17,26859125,0.1
2011,Peru,02330000,0,84251,-1,120002,-1
2011,Petersham,02340000,1032970,686762,0.5,796423,0.3
2011,"Pioneer Valley",07500000,12075630,8263519,0.46,8514226,0.42
2011,Pittsfield,02360000,68538958,62148015,0.1,61453294,0.12
2011,Plainfield,02370000,0,96287,-1,109452,-1
2011,Plainville,02380000,8161565,6313859,0.29,6387696,0.28
2011,Plymouth,02390000,91437553,78742171,0.16,78417393,0.17
2011,Plympton,02400000,2614971,2009834,0.3,1998804,0.31
2011,Provincetown,02420000,4754192,1375098,2.46,1778129,1.67
2011,Quabbin,07530000,26619183,23447229,0.14,25229057,0.06
2011,Quaboag,07780000,13590028,12453350,0.09,12338565,0.1
2011,Quincy,02430000,107442289,92692071,0.16,93187711,0.15
2011,"Ralph C Mahar",07550000,9587928,7695445,0.25,7882100,0.22
2011,Randolph,02440000,42149372,30820252,0.37,31168700,0.35
2011,Reading,02460000,42284871,35612661,0.19,36216840,0.17
2011,Revere,02480000,66035023,65723577,0.01,67937423,-0.03
2011,Richmond,02490000,3629173,1627121,1.23,2019743,0.8
2011,Rochester,02500000,5628171,4449279,0.27,4531828,0.24
2011,Rockland,02510000,25658907,21074813,0.22,21465119,0.2
2011,Rockport,02520000,12342569,7620062,0.62,8403020,0.47
2011,Rowe,02530000,1476096,552009,1.67,565645,1.61
2011,Russell,02560000,0,191600,-1,243528,-1
2011,Salem,02580000,53691113,47422424,0.13,47090461,0.14
2011,Sandwich,02610000,36306096,29670857,0.22,30366898,0.2
2011,Saugus,02620000,33121093,25120399,0.32,26478100,0.25
2011,Savoy,02630000,1009098,771222,0.31,856516,0.18
2011,Scituate,02640000,31645347,26489576,0.2,27070686,0.17
2011,Seekonk,02650000,22408674,17708321,0.27,18474313,0.21
2011,Sharon,02660000,40975575,28790564,0.42,29024634,0.41
2011,"Shawsheen Valley Regional Vocational Technical",08710000,20616932,17891209,0.15,18003898,0.14
2011,Sheffield,02670000,0,24072,-1,34743,-1
2011,Shelburne,02680000,0,12036,-1,12036,-1
2011,Sherborn,02690000,5753097,3616285,0.59,3771578,0.53
2011,Shirley,02700000,8719221,7370762,0.18,7926174,0.1
2011,Shrewsbury,02710000,55586903,49767093,0.12,50868453,0.09
2011,Shutesbury,02720000,2055185,1121281,0.83,1229068,0.67
2011,"Silver Lake",07600000,19129609,17072737,0.12,16943036,0.13
2011,Somerset,02730000,27244304,20948485,0.3,20846823,0.31
2011,Somerville,02740000,73514274,56711003,0.3,67127448,0.1
2011,"South Hadley",02780000,22238665,18934830,0.17,19103556,0.16
2011,"South Middlesex Regional Vocational Technical",08290000,13522881,9792460,0.38,9892579,0.37
2011,"South Shore Regional Vocational Technical",08730000,9395171,8159817,0.15,8109251,0.16
2011,Southampton,02750000,5106827,4426093,0.15,4875826,0.05
2011,Southborough,02760000,18987437,12125426,0.57,13064443,0.45
2011,Southbridge,02770000,24838207,22931317,0.08,22623912,0.1
2011,"Southeastern Regional Vocational Technical",08720000,18916463,18976859,0,18901477,0
2011,"Southern Berkshire",07650000,11686759,7684459,0.52,8741592,0.34
2011,"Southern Worcester County Regional Vocational Technical",08760000,15665787,15894029,-0.01,15856253,-0.01
2011,Southwick-Tolland-Granville,07660000,15849125,14765244,0.07,15196778,0.04
2011,Spencer,02800000,0,12036,-1,12036,-1
2011,"Spencer-E Brookfield",07670000,20402118,18373742,0.11,19192942,0.06
2011,Springfield,02810000,307331283,302574194,0.02,308316257,0
2011,Stoneham,02840000,26522779,22707299,0.17,22974387,0.15
2011,Stoughton,02850000,38410880,34710176,0.11,35033695,0.1
2011,Sturbridge,02870000,8797686,6646558,0.32,6662970,0.32
2011,Sudbury,02880000,32883667,24480270,0.34,25344840,0.3
2011,Sunderland,02890000,2273836,1426674,0.59,1891017,0.2
2011,Sutton,02900000,14626114,13180445,0.11,13537960,0.08
2011,Swampscott,02910000,25527004,18190629,0.4,18572074,0.37
2011,Swansea,02920000,19427114,17156168,0.13,17284252,0.12
2011,Tantasqua,07700000,17618514,15980906,0.1,16757243,0.05
2011,Taunton,02930000,71995154,72854522,-0.01,74058833,-0.03
2011,Tewksbury,02950000,40873588,34573601,0.18,35935154,0.14
2011,Tisbury,02960000,6884896,2875847,1.39,3251329,1.12
2011,Topsfield,02980000,6975035,4814775,0.45,5194730,0.34
2011,"Tri County Regional Vocational Technical",08780000,13306350,13370766,-0.01,13271446,0
2011,Triton,07730000,31779902,27238757,0.17,29176103,0.09
2011,Truro,03000000,4166629,1611079,1.59,2076779,1.01
2011,Tyngsborough,03010000,18105659,16042053,0.13,16396917,0.1
2011,Tyringham,03020000,0,250239,-1,286034,-1
2011,Up-Island,07740000,7848876,2883583,1.72,3731679,1.1
2011,"Upper Cape Cod Regional Vocational Technical",08790000,10652563,9469840,0.13,10276997,0.04
2011,Upton,03030000,0,49252,-1,49252,-1
2011,Uxbridge,03040000,22221182,17147339,0.3,18564710,0.2
2011,Wachusett,07750000,63945971,59254110,0.08,58838533,0.09
2011,Wakefield,03050000,35703693,29492137,0.21,30047852,0.19
2011,Wales,03060000,1619098,1290630,0.26,1277118,0.27
2011,Walpole,03070000,39649686,32863428,0.21,33803685,0.17
2011,Waltham,03080000,83446444,47912898,0.74,55491269,0.5
2011,Ware,03090000,12655182,13334594,-0.05,13248386,-0.05
2011,Wareham,03100000,30486184,29157976,0.05,29678331,0.03
2011,Washington,03130000,0,24072,-1,27615,-1
2011,Watertown,03140000,37640175,24666914,0.53,26549235,0.42
2011,Wayland,03150000,37864985,22901224,0.65,24625106,0.54
2011,Webster,03160000,19934087,19122110,0.04,18936198,0.05
2011,Wellesley,03170000,64340854,42176324,0.53,43568685,0.48
2011,Wellfleet,03180000,2750518,1206261,1.28,1366135,1.01
2011,"West Boylston",03220000,11309206,8556985,0.32,9014206,0.26
2011,"West Bridgewater",03230000,10962245,9121055,0.2,9146842,0.2
2011,"West Brookfield",03240000,0,251779,-1,315352,-1
2011,"West Springfield",03320000,40002571,37738816,0.06,37383882,0.07
2011,Westborough,03210000,44495333,29700461,0.5,29826378,0.49
2011,Westfield,03250000,61503759,56542891,0.09,56397287,0.09
2011,Westford,03260000,49997454,42723467,0.17,44457831,0.13
2011,Westhampton,03270000,1731379,1232066,0.41,1246146,0.39
2011,Weston,03300000,38539387,20090660,0.92,21604525,0.78
2011,Westport,03310000,16444357,15747913,0.04,16329160,0.01
2011,Westwood,03350000,38323138,25931255,0.48,26990772,0.42
2011,Weymouth,03360000,60458533,62823243,-0.04,62216600,-0.03
2011,Whately,03370000,1789932,770959,1.32,783610,1.28
2011,Whitman,03380000,0,167528,-1,173098,-1
2011,Whitman-Hanson,07800000,38206481,36853532,0.04,36396950,0.05
2011,"Whittier Regional Vocational Technical",08850000,16786334,14275035,0.18,14152572,0.19
2011,Williamsburg,03400000,2278047,1588796,0.43,1591027,0.43
2011,Williamstown,03410000,5099794,2954222,0.73,3711250,0.37
2011,Wilmington,03420000,41783365,33071492,0.26,32873287,0.27
2011,Winchendon,03430000,16309406,15672163,0.04,15720622,0.04
2011,Winchester,03440000,45170868,34209063,0.32,34097851,0.33
2011,Windsor,03450000,0,48143,-1,77915,-1
2011,Winthrop,03460000,18392885,16947234,0.09,17266911,0.07
2011,Woburn,03470000,57598360,43013307,0.34,43844370,0.31
2011,Worcester,03480000,271848400,275818707,-0.01,272144069,0
2011,Worthington,03490000,0,60179,-1,110922,-1
2011,Wrentham,03500000,10175451,9107308,0.12,9301237,0.09
2011,Yarmouth,03510000,0,12036,-1,14629,-1
2011,"MASSACHUSETTS TOTAL",00000000,10581836319,8921047970,0.19,9178771315,0.15
2010,Abington,00010000,20693180,19474319,0.06,19737009,0.05
2010,Acton,00020000,24766821,19717634,0.26,19360503,0.28
2010,Acton-Boxborough,06000000,32445030,26931635,0.21,26285401,0.23
2010,Acushnet,00030000,12081603,11223342,0.08,11706457,0.03
2010,Adams,00040000,0,12307,-1,12268,-1
2010,Adams-Cheshire,06030000,14916859,14762562,0.01,14758616,0.01
2010,Agawam,00050000,44651154,38739894,0.15,37357245,0.2
2010,Amesbury,00070000,25974892,21190912,0.23,22452612,0.16
2010,Amherst,00080000,21096814,12789869,0.65,14428682,0.46
2010,Amherst-Pelham,06050000,24585817,16430083,0.5,20594913,0.19
2010,Andover,00090000,69994327,52920928,0.32,53374284,0.31
2010,Arlington,00100000,50771110,40248798,0.26,39309966,0.29
2010,Ashburnham-Westminster,06100000,21668433,20747434,0.04,20378613,0.06
2010,Ashfield,00130000,258924,171297,0.51,210624,0.23
2010,Ashland,00140000,26371919,21943205,0.2,21663872,0.22
2010,"Assabet Valley Regional Vocational Technical",08010000,10555839,10283013,0.03,10338045,0.02
2010,Athol-Royalston,06150000,20715573,18226671,0.14,19995284,0.04
2010,Attleboro,00160000,58914865,58918761,0,58260559,0.01
2010,Auburn,00170000,24870348,20439500,0.22,19879400,0.25
2010,Avon,00180000,7393406,5079185,0.46,5518140,0.34
2010,Ayer,00190000,12511355,10086780,0.24,10613577,0.18
2010,Barnstable,00200000,58980446,50897965,0.16,53189694,0.11
2010,Barre,00210000,25000,61533,-0.59,39542,-0.37
2010,Becket,00220000,126789,86146,0.47,148261,-0.14
2010,Bedford,00230000,34979021,22837847,0.53,23227677,0.51
2010,Belchertown,00240000,24109032,23575322,0.02,22689163,0.06
2010,Bellingham,00250000,24374398,22336539,0.09,22245429,0.1
2010,Belmont,00260000,37215474,33630844,0.11,32257185,0.15
2010,Berkley,00270000,9397785,9064947,0.04,9276267,0.01
2010,"Berkshire Hills",06180000,16924349,9958320,0.7,12503061,0.35
2010,Berlin,00280000,3143614,1739192,0.81,1992813,0.58
2010,Berlin-Boylston,06200000,5653522,3848242,0.47,4177039,0.35
2010,Bernardston,00290000,27409,24613,0.11,12834,1.14
2010,Beverly,00300000,47017167,39194006,0.2,41174563,0.14
2010,Billerica,00310000,63764282,52105541,0.22,50867082,0.25
2010,Blackstone,00320000,146239,208217,-0.3,217331,-0.33
2010,"Blackstone Valley Regional Vocational Technical",08050000,15101849,15755119,-0.04,15201934,-0.01
2010,Blackstone-Millville,06220000,18690506,17821603,0.05,18317803,0.02
2010,Blandford,00330000,95446,73839,0.29,89910,0.06
2010,"Blue Hills Regional Vocational Technical",08060000,14325428,12332270,0.16,12945590,0.11
2010,Bolton,00340000,0,0,0,5654,-1
2010,Boston,00350000,796202870,698913739,0.14,727841768,0.09
2010,Bourne,00360000,23606919,20772043,0.14,21727533,0.09
2010,Boxborough,00370000,5765497,4221714,0.37,4508953,0.28
2010,Boxford,00380000,9235210,6715150,0.38,7159422,0.29
2010,Boylston,00390000,3816377,2995461,0.27,2992336,0.28
2010,Braintree,00400000,50447963,46447721,0.09,43596629,0.16
2010,Brewster,00410000,7178400,4216303,0.7,4808334,0.49
2010,Bridgewater,00420000,782627,110759,6.07,145790,4.37
2010,Bridgewater-Raynham,06250000,50937171,48428019,0.05,49094994,0.04
2010,Brimfield,00430000,3433408,2416095,0.42,2487427,0.38
2010,"Bristol County Agricultural",09100000,5041646,5380792,-0.06,5281462,-0.05
2010,"Bristol-Plymouth Regional Vocational Technical",08100000,16326213,17087282,-0.05,16289444,0
2010,Brockton,00440000,157571930,165249140,-0.05,158654622,-0.01
