adminyear,grade,org_code,DistrictName,SchoolName,group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2008,03,00010005,Abington,Center,"All Students",46,45,,1,,,,46,46,,,,,,,,,,,,,98,100,
2008,03,00010005,Abington,Center,"Low Income",11,11,,,,,,11,11,,,,,,,,,,,,,100,100,
2008,03,00010005,Abington,Center,Black,1,,,,,,,1,,,,,,,,,,,,,,,,
2008,03,00010005,Abington,Center,Hispanic/Latino,5,,,,,,,5,,,,,,,,,,,,,,,,
2008,03,00010005,Abington,Center,White,40,39,,1,,,,40,40,,,,,,,,,,,,,98,100,
2008,03,00010005,Abington,Center,"Special Ed",11,11,,,,,,11,11,,,,,,,,,,,,,100,100,
2008,04,00010005,Abington,Center,"All Students",44,41,,1,,,2,44,42,,,,,2,,,,,,,,98,100,
2008,04,00010005,Abington,Center,"Low Income",11,10,,,,,1,11,10,,,,,1,,,,,,,,100,100,
2008,04,00010005,Abington,Center,Black,4,,,,,,,4,,,,,,,,,,,,,,,,
2008,04,00010005,Abington,Center,Hispanic/Latino,1,,,,,,,1,,,,,,,,,,,,,,,,
2008,04,00010005,Abington,Center,White,39,36,,1,,,2,39,37,,,,,2,,,,,,,,97,100,
2008,04,00010005,Abington,Center,"Special Ed",8,,,,,,,8,,,,,,,,,,,,,,,,
2008,05,00010005,Abington,Center,"All Students",54,52,,,,,2,54,52,,,,,2,54,52,,,,,2,100,100,100
2008,05,00010005,Abington,Center,"Low Income",8,,,,,,,8,,,,,,,8,,,,,,,,,
2008,05,00010005,Abington,Center,Black,1,,,,,,,1,,,,,,,1,,,,,,,,,
2008,05,00010005,Abington,Center,Asian,1,,,,,,,1,,,,,,,1,,,,,,,,,
2008,05,00010005,Abington,Center,Hispanic/Latino,6,,,,,,,6,,,,,,,6,,,,,,,,,
2008,05,00010005,Abington,Center,White,46,44,,,,,2,46,44,,,,,2,46,44,,,,,2,100,100,100
2008,05,00010005,Abington,Center,"LEP/Formerly LE",1,,,,,,,1,,,,,,,1,,,,,,,,,
2008,05,00010005,Abington,Center,"Special Ed",13,12,,,,,1,13,12,,,,,1,13,12,,,,,1,100,100,100
2008,06,00010005,Abington,Center,"All Students",52,50,,,,,2,52,50,,,,,2,,,,,,,,100,100,
2008,06,00010005,Abington,Center,"Low Income",5,,,,,,,5,,,,,,,,,,,,,,,,
2008,06,00010005,Abington,Center,Black,1,,,,,,,1,,,,,,,,,,,,,,,,
2008,06,00010005,Abington,Center,Hispanic/Latino,3,,,,,,,3,,,,,,,,,,,,,,,,
2008,06,00010005,Abington,Center,White,48,46,,,,,2,48,46,,,,,2,,,,,,,,100,100,
2008,06,00010005,Abington,Center,"Special Ed",8,,,,,,,8,,,,,,,,,,,,,,,,
2008,03,00010010,Abington,North,"All Students",45,43,,,,,2,45,43,,,,,2,,,,,,,,100,100,
2008,03,00010010,Abington,North,"Low Income",11,10,,,,,1,11,10,,,,,1,,,,,,,,100,100,
2008,03,00010010,Abington,North,Hispanic/Latino,2,,,,,,,2,,,,,,,,,,,,,,,,
2008,03,00010010,Abington,North,White,42,41,,,,,1,42,41,,,,,1,,,,,,,,100,100,
2008,03,00010010,Abington,North,"Special Ed",6,,,,,,,6,,,,,,,,,,,,,,,,
2008,04,00010010,Abington,North,"All Students",44,42,,1,,1,,44,43,,,,1,,,,,,,,,98,100,
2008,04,00010010,Abington,North,"Low Income",11,10,,,,1,,11,10,,,,1,,,,,,,,,100,100,
2008,04,00010010,Abington,North,Asian,2,,,,,,,2,,,,,,,,,,,,,,,,
2008,04,00010010,Abington,North,Hispanic/Latino,3,,,,,,,3,,,,,,,,,,,,,,,,
2008,04,00010010,Abington,North,White,39,38,,1,,,,39,39,,,,,,,,,,,,,97,100,
2008,04,00010010,Abington,North,"Special Ed",5,,,,,,,5,,,,,,,,,,,,,,,,
2008,05,00010010,Abington,North,"All Students",51,50,,,,1,,51,50,,,,1,,51,50,,,,1,,100,100,100
2008,05,00010010,Abington,North,"Low Income",5,,,,,,,5,,,,,,,5,,,,,,,,,
2008,05,00010010,Abington,North,Hispanic/Latino,2,,,,,,,2,,,,,,,2,,,,,,,,,
2008,05,00010010,Abington,North,White,49,49,,,,,,49,49,,,,,,49,49,,,,,,100,100,100
