adminyear,grade,org_code,district,SchoolName,group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,eayp_part_rate,mayp_part_rate,sayp_part_rate
2007,06,00030305,Acushnet,"Albert F Ford Middle Sch","Low Income",11,11,,,,,,11,11,,,,,,,,,,,,,100,100,
2007,06,00030305,Acushnet,"Albert F Ford Middle Sch",White,111,111,,,,,,111,111,,,,,,,,,,,,,100,100,
2007,06,00030305,Acushnet,"Albert F Ford Middle Sch","Special Ed",20,20,,,,,,20,20,,,,,,,,,,,,,100,100,
2007,07,00030305,Acushnet,"Albert F Ford Middle Sch","All Students",135,131,,,,,4,135,131,,,,,4,,,,,,,,100,100,
2007,07,00030305,Acushnet,"Albert F Ford Middle Sch","Low Income",19,15,,,,,4,19,15,,,,,4,,,,,,,,100,100,
2007,07,00030305,Acushnet,"Albert F Ford Middle Sch",White,130,126,,,,,4,130,126,,,,,4,,,,,,,,100,100,
2007,07,00030305,Acushnet,"Albert F Ford Middle Sch","Special Ed",15,15,,,,,,15,15,,,,,,,,,,,,,100,100,
2007,08,00030305,Acushnet,"Albert F Ford Middle Sch","All Students",131,130,,,,,1,131,130,,,,,1,131,130,,,,,1,100,100,100
2007,08,00030305,Acushnet,"Albert F Ford Middle Sch","Low Income",16,15,,,,,1,16,15,,,,,1,16,15,,,,,1,100,100,100
2007,08,00030305,Acushnet,"Albert F Ford Middle Sch",White,126,126,,,,,,126,126,,,,,,126,126,,,,,,100,100,100
2007,08,00030305,Acushnet,"Albert F Ford Middle Sch","Special Ed",18,18,,,,,,18,18,,,,,,18,18,,,,,,100,100,100
2007,03,00050010,Agawam,"Clifford M Granger","All Students",79,76,,,,1,2,79,76,,,,1,2,,,,,,,,100,100,
2007,03,00050010,Agawam,"Clifford M Granger","Low Income",18,17,,,,,1,18,17,,,,,1,,,,,,,,100,100,
2007,03,00050010,Agawam,"Clifford M Granger",White,67,64,,,,1,2,67,64,,,,1,2,,,,,,,,100,100,
2007,04,00050010,Agawam,"Clifford M Granger","All Students",85,85,,,,,,85,85,,,,,,,,,,,,,100,100,
2007,04,00050010,Agawam,"Clifford M Granger","Low Income",23,23,,,,,,23,23,,,,,,,,,,,,,100,100,
2007,04,00050010,Agawam,"Clifford M Granger",White,75,75,,,,,,75,75,,,,,,,,,,,,,100,100,
2007,04,00050010,Agawam,"Clifford M Granger","Special Ed",16,16,,,,,,16,16,,,,,,,,,,,,,100,100,
2007,03,00050020,Agawam,"Benjamin J Phelps","All Students",84,80,2,,,,2,84,80,2,,,,2,,,,,,,,100,100,
2007,03,00050020,Agawam,"Benjamin J Phelps",White,79,75,2,,,,2,79,75,2,,,,2,,,,,,,,100,100,
2007,03,00050020,Agawam,"Benjamin J Phelps","Special Ed",15,13,2,,,,,15,13,2,,,,,,,,,,,,100,100,
2007,04,00050020,Agawam,"Benjamin J Phelps","All Students",94,92,,,,,2,94,92,,,,,2,,,,,,,,100,100,
2007,04,00050020,Agawam,"Benjamin J Phelps","Low Income",15,15,,,,,,15,15,,,,,,,,,,,,,100,100,
2007,04,00050020,Agawam,"Benjamin J Phelps",White,88,86,,,,,2,88,86,,,,,2,,,,,,,,100,100,
2007,03,00050025,Agawam,"Robinson Park","All Students",85,84,,,,,1,85,84,,,,,1,,,,,,,,100,100,
2007,03,00050025,Agawam,"Robinson Park","Low Income",21,20,,,,,1,21,20,,,,,1,,,,,,,,100,100,
2007,03,00050025,Agawam,"Robinson Park",White,79,78,,,,,1,79,78,,,,,1,,,,,,,,100,100,
2007,03,00050025,Agawam,"Robinson Park","Special Ed",10,10,,,,,,10,10,,,,,,,,,,,,,100,100,
2007,04,00050025,Agawam,"Robinson Park","All Students",82,80,,,,,2,82,80,,,,,2,,,,,,,,100,100,
2007,04,00050025,Agawam,"Robinson Park","Low Income",27,26,,,,,1,27,26,,,,,1,,,,,,,,100,100,
2007,04,00050025,Agawam,"Robinson Park",White,76,74,,,,,2,76,74,,,,,2,,,,,,,,100,100,
2007,03,00050030,Agawam,"James Clark School","All Students",83,75,6,,,,2,82,74,6,,,,2,,,,,,,,100,100,
2007,03,00050030,Agawam,"James Clark School","Low Income",21,15,4,,,,2,21,15,4,,,,2,,,,,,,,100,100,
2007,03,00050030,Agawam,"James Clark School",White,79,71,6,,,,2,78,70,6,,,,2,,,,,,,,100,100,
2007,03,00050030,Agawam,"James Clark School","Special Ed",15,9,6,,,,,15,9,6,,,,,,,,,,,,100,100,
2007,04,00050030,Agawam,"James Clark School","All Students",73,71,,,,1,1,74,71,,,,1,2,,,,,,,,100,100,
2007,04,00050030,Agawam,"James Clark School","Low Income",11,11,,,,,,12,11,,,,,1,,,,,,,,100,100,
2007,04,00050030,Agawam,"James Clark School",White,67,65,,,,1,1,68,65,,,,1,2,,,,,,,,100,100,
2007,04,00050030,Agawam,"James Clark School","Special Ed",10,10,,,,,,10,10,,,,,,,,,,,,,100,100,
2007,05,00050303,Agawam,"Agawam Middle School","All Students",357,341,5,,,,11,357,341,5,,,,11,357,341,4,1,,,11,100,100,100
2007,05,00050303,Agawam,"Agawam Middle School","Low Income",74,65,1,,,,8,74,65,1,,,,8,74,65,1,,,,8,100,100,100
2007,05,00050303,Agawam,"Agawam Middle School",White,340,326,5,,,,9,340,326,5,,,,9,340,326,4,1,,,9,100,100,100
2007,05,00050303,Agawam,"Agawam Middle School","LEP/Formerly LEP",17,15,,,,,2,17,15,,,,,2,17,15,,,,,2,100,100,100
2007,05,00050303,Agawam,"Agawam Middle School","Special Ed",51,45,5,,,,1,51,45,5,,,,1,51,45,4,1,,,1,100,100,98
2007,06,00050303,Agawam,"Agawam Middle School","All Students",362,349,4,,1,2,6,360,348,4,,,2,6,,,,,,,,99,100,
2007,06,00050303,Agawam,"Agawam Middle School","Low Income",65,60,,,,2,3,64,59,,,,2,3,,,,,,,,98,100,
2007,06,00050303,Agawam,"Agawam Middle School",White,355,342,4,,1,2,6,353,341,4,,,2,6,,,,,,,,99,100,
2007,06,00050303,Agawam,"Agawam Middle School","LEP/Formerly LEP",19,17,,,,1,1,19,17,,,,1,1,,,,,,,,100,100,
2007,06,00050303,Agawam,"Agawam Middle School","Special Ed",53,49,4,,,,,52,48,4,,,,,,,,,,,,100,100,
2007,07,00050405,Agawam,"Agawam Junior High","All Students",354,334,,,3,,17,355,336,,,1,,18,,,,,,,,99,100,
2007,07,00050405,Agawam,"Agawam Junior High","Low Income",85,76,,,1,,8,86,77,,,,,9,,,,,,,,99,100,
2007,07,00050405,Agawam,"Agawam Junior High",White,342,325,,,2,,15,343,326,,,1,,16,,,,,,,,99,100,
2007,07,00050405,Agawam,"Agawam Junior High","LEP/Formerly LEP",11,9,,,,,2,11,9,,,,,2,,,,,,,,100,100,
2007,07,00050405,Agawam,"Agawam Junior High","Special Ed",57,57,,,,,,57,57,,,,,,,,,,,,,100,100,
2007,08,00050405,Agawam,"Agawam Junior High","All Students",357,347,,,,1,9,355,346,,,,1,8,357,347,,,,1,9,100,100,100
2007,08,00050405,Agawam,"Agawam Junior High","Low Income",60,51,,,,1,8,58,50,,,,1,7,60,51,,,,1,8,100,100,100
2007,08,00050405,Agawam,"Agawam Junior High",White,348,340,,,,1,7,348,340,,,,1,7,348,340,,,,1,7,100,100,100
2007,08,00050405,Agawam,"Agawam Junior High","LEP/Formerly LEP",10,9,,,,1,,10,9,,,,1,,10,9,,,,1,,100,100,100
2007,08,00050405,Agawam,"Agawam Junior High","Special Ed",55,54,,,,,1,55,54,,,,,1,55,54,,,,,1,100,100,100
2007,10,00050505,Agawam,"Agawam High","All Students",326,312,,,1,,13,330,311,,5,,,14,,,,,,,,100,98,
2007,10,00050505,Agawam,"Agawam High","Low Income",43,39,,,1,,3,44,40,,,,,4,,,,,,,,98,100,
2007,10,00050505,Agawam,"Agawam High",Hispanic/Latino,14,13,,,1,,,14,14,,,,,,,,,,,,,93,100,
2007,10,00050505,Agawam,"Agawam High",White,302,290,,,,,12,305,287,,5,,,13,,,,,,,,100,98,
2007,10,00050505,Agawam,"Agawam High","Special Ed",31,28,,,,,3,33,28,,1,,,4,,,,,,,,100,97,
2007,03,00070005,Amesbury,"Amesbury Elementary","All Students",77,74,2,,,,1,78,74,2,,,,2,,,,,,,,100,100,
2007,03,00070005,Amesbury,"Amesbury Elementary","Low Income",11,9,2,,,,,11,9,2,,,,,,,,,,,,100,100,
2007,03,00070005,Amesbury,"Amesbury Elementary",White,71,68,2,,,,1,72,68,2,,,,2,,,,,,,,100,100,
2007,03,00070005,Amesbury,"Amesbury Elementary","Special Ed",19,17,2,,,,,19,17,2,,,,,,,,,,,,100,100,
2007,04,00070005,Amesbury,"Amesbury Elementary","All Students",84,82,,,,,2,84,81,,,1,,2,,,,,,,,100,99,
2007,04,00070005,Amesbury,"Amesbury Elementary","Low Income",16,15,,,,,1,16,15,,,,,1,,,,,,,,100,100,
2007,04,00070005,Amesbury,"Amesbury Elementary",White,80,78,,,,,2,80,77,,,1,,2,,,,,,,,100,99,
2007,04,00070005,Amesbury,"Amesbury Elementary","Special Ed",16,16,,,,,,16,15,,,1,,,,,,,,,,100,94,
2007,03,00070010,Amesbury,"Charles C Cashman El","All Students",93,91,1,,,,1,91,89,1,,,,1,,,,,,,,100,100,
2007,03,00070010,Amesbury,"Charles C Cashman El","Low Income",17,15,1,,,,1,15,13,1,,,,1,,,,,,,,100,100,
2007,03,00070010,Amesbury,"Charles C Cashman El",White,81,80,,,,,1,80,79,,,,,1,,,,,,,,100,100,
2007,03,00070010,Amesbury,"Charles C Cashman El","Special Ed",20,19,1,,,,,20,19,1,,,,,,,,,,,,100,100,
2007,04,00070010,Amesbury,"Charles C Cashman El","All Students",93,90,1,,,,2,92,88,2,,,,2,,,,,,,,100,100,
2007,04,00070010,Amesbury,"Charles C Cashman El","Low Income",17,17,,,,,,16,16,,,,,,,,,,,,,100,100,
2007,04,00070010,Amesbury,"Charles C Cashman El",White,81,79,1,,,,1,81,78,2,,,,1,,,,,,,,100,100,
2007,04,00070010,Amesbury,"Charles C Cashman El","Special Ed",16,15,1,,,,,16,14,2,,,,,,,,,,,,100,100,
2007,05,00070013,Amesbury,"Amesbury Middle","All Students",192,182,6,,1,,3,191,180,7,,1,,3,191,181,6,,1,,3,99,99,99
2007,05,00070013,Amesbury,"Amesbury Middle","Low Income",27,25,2,,,,,27,25,2,,,,,27,25,2,,,,,100,100,100
2007,05,00070013,Amesbury,"Amesbury Middle",White,182,173,5,,1,,3,181,171,6,,1,,3,181,172,5,,1,,3,99,99,99
2007,05,00070013,Amesbury,"Amesbury Middle","Special Ed",35,28,6,,1,,,35,27,7,,1,,,35,28,6,,1,,,97,97,97
2007,06,00070013,Amesbury,"Amesbury Middle","All Students",171,165,4,,,,2,171,165,4,,,,2,,,,,,,,100,100,
2007,06,00070013,Amesbury,"Amesbury Middle","Low Income",31,29,2,,,,,31,29,2,,,,,,,,,,,,100,100,
2007,06,00070013,Amesbury,"Amesbury Middle",White,162,156,4,,,,2,162,156,4,,,,2,,,,,,,,100,100,
2007,06,00070013,Amesbury,"Amesbury Middle","Special Ed",24,19,4,,,,1,24,19,4,,,,1,,,,,,,,100,100,
2007,07,00070013,Amesbury,"Amesbury Middle","All Students",177,169,3,,1,1,3,177,168,4,,1,1,3,,,,,,,,99,99,
2007,07,00070013,Amesbury,"Amesbury Middle","Low Income",26,26,,,,,,26,26,,,,,,,,,,,,,100,100,
2007,07,00070013,Amesbury,"Amesbury Middle",White,162,155,3,,1,,3,162,154,4,,1,,3,,,,,,,,99,99,
2007,07,00070013,Amesbury,"Amesbury Middle","Special Ed",27,21,3,,,,3,27,20,4,,,,3,,,,,,,,100,100,
2007,08,00070013,Amesbury,"Amesbury Middle","All Students",202,195,1,,2,,4,200,192,2,,2,,4,200,193,1,,2,,4,99,99,99
2007,08,00070013,Amesbury,"Amesbury Middle","Low Income",30,28,,,1,,1,29,27,,,1,,1,29,27,,,1,,1,97,97,97
2007,08,00070013,Amesbury,"Amesbury Middle",White,190,183,1,,2,,4,188,180,2,,2,,4,188,181,1,,2,,4,99,99,99
2007,08,00070013,Amesbury,"Amesbury Middle","Special Ed",29,26,1,,1,,1,28,24,2,,1,,1,28,25,1,,1,,1,97,96,96
