"Grade Levels by District Report",,,
"District Code",District,"School Level Description","Number of Schools"
06850000,Hawlemont,Elementary,1
06900000,"King Philip","Middle/Junior High",1
06900000,"King Philip",Secondary,1
06950000,Lincoln-Sudbury,Secondary,1
06980000,"Manchester Essex Regional",Elementary,2
06980000,"Manchester Essex Regional","Middle/Junior High",1
06980000,"Manchester Essex Regional",Secondary,1
07000000,"Martha's Vineyard",Secondary,1
07050000,Masconomet,"Middle/Junior High",1
07050000,Masconomet,Secondary,1
07100000,Mendon-Upton,Elementary,2
07100000,Mendon-Upton,"Middle/Junior High",1
07100000,Mendon-Upton,Secondary,1
07120000,"Monomoy Regional School District",Elementary,2
07120000,"Monomoy Regional School District","Middle/Junior High",2
07120000,"Monomoy Regional School District",Secondary,2
07150000,"Mount Greylock",Secondary,1
07170000,"Mohawk Trail",Elementary,4
07170000,"Mohawk Trail",Secondary,1
07200000,Narragansett,Elementary,3
07200000,Narragansett,"Middle/Junior High",1
07200000,Narragansett,Secondary,1
07250000,Nashoba,Elementary,3
07250000,Nashoba,"Middle/Junior High",2
07250000,Nashoba,Secondary,1
07280000,"New Salem-Wendell",Elementary,1
07300000,Northboro-Southboro,Secondary,1
07350000,"North Middlesex",Elementary,4
07350000,"North Middlesex","Middle/Junior High",2
07350000,"North Middlesex",Secondary,2
07400000,"Old Rochester","Middle/Junior High",1
07400000,"Old Rochester",Secondary,1
07450000,Pentucket,Elementary,4
07450000,Pentucket,"Middle/Junior High",1
07450000,Pentucket,Secondary,1
07500000,"Pioneer Valley",Elementary,4
07500000,"Pioneer Valley",Secondary,1
07530000,Quabbin,Elementary,5
07530000,Quabbin,"Middle/Junior High",1
07530000,Quabbin,Secondary,2
07550000,"Ralph C Mahar",Secondary,3
07600000,"Silver Lake","Middle/Junior High",1
07600000,"Silver Lake",Secondary,1
07630000,"Somerset Berkley Regional School District",Secondary,1
07650000,"Southern Berkshire",Elementary,4
07650000,"Southern Berkshire",Secondary,1
07660000,"Southwick-Tolland-Granville Regional School District",Elementary,2
07660000,"Southwick-Tolland-Granville Regional School District","Middle/Junior High",1
07660000,"Southwick-Tolland-Granville Regional School District",Secondary,1
07670000,"Spencer-E Brookfield",Elementary,3
07670000,"Spencer-E Brookfield","Middle/Junior High",1
07670000,"Spencer-E Brookfield",Secondary,1
07700000,Tantasqua,"Middle/Junior High",1
07700000,Tantasqua,Secondary,2
07730000,Triton,Elementary,3
07730000,Triton,"Middle/Junior High",1
07730000,Triton,Secondary,1
07740000,"Up-Island Regional",Elementary,2
07750000,Wachusett,Elementary,9
07750000,Wachusett,"Middle/Junior High",3
07750000,Wachusett,Secondary,1
07780000,"Quaboag Regional",Elementary,2
07780000,"Quaboag Regional","Middle/Junior High",1
07780000,"Quaboag Regional",Secondary,1
07800000,Whitman-Hanson,Elementary,4
07800000,Whitman-Hanson,"Middle/Junior High",2
07800000,Whitman-Hanson,Secondary,1
08010000,"Assabet Valley Regional Vocational Technical",Secondary,1
08050000,"Blackstone Valley Regional Vocational Technical",Secondary,1
08060000,"Blue Hills Regional Vocational Technical",Secondary,1
08100000,"Bristol-Plymouth Regional Vocational Technical",Secondary,1
08150000,"Cape Cod Regional Vocational Technical",Secondary,1
08180000,"Franklin County Regional Vocational Technical",Secondary,1
08210000,"Greater Fall River Regional Vocational Technical",Secondary,1
08230000,"Greater Lawrence Regional Vocational Technical",Secondary,1
08250000,"Greater New Bedford Regional Vocational Technical",Secondary,1
08280000,"Greater Lowell Regional Vocational Technical",Secondary,1
08290000,"South Middlesex Regional Vocational Technical",Secondary,1
08300000,"Minuteman Regional Vocational Technical",Secondary,1
08320000,"Montachusett Regional Vocational Technical",Secondary,1
08510000,"Northern Berkshire Regional Vocational Technical",Secondary,1
08520000,"Nashoba Valley Regional Vocational Technical",Secondary,1
08530000,"Northeast Metropolitan Regional Vocational Technical",Secondary,1
08540000,"North Shore Regional Vocational Technical",Secondary,1
08550000,"Old Colony Regional Vocational Technical",Secondary,1
08600000,"Pathfinder Regional Vocational Technical",Secondary,1
08710000,"Shawsheen Valley Regional Vocational Technical",Secondary,1
08720000,"Southeastern Regional Vocational Technical",Secondary,1
08730000,"South Shore Regional Vocational Technical",Secondary,1
08760000,"Southern Worcester County Regional Vocational Technical",Secondary,1
08780000,"Tri County Regional Vocational Technical",Secondary,1
08790000,"Upper Cape Cod Regional Vocational Technical",Secondary,1
08850000,"Whittier Regional Vocational Technical",Secondary,1
09100000,"Bristol County Agricultural",Secondary,1
09130000,"Essex Agricultural Technical",Secondary,1
09150000,"Norfolk County Agricultural",Secondary,1
35010000,"Paulo Freire Social Justice Charter School (District)",Secondary,1
35020000,"Baystate Academy Charter Public School (District)",Secondary,1
35030000,"Lowell Collegiate Charter School (District)",Elementary,1
35040000,"City on a Hill Charter Public School II (District)",Secondary,1
35050000,"UP Academy Charter School of Dorchester (District)",Secondary,1
35060000,"Pioneer Charter School of Science II (PCSS-II) (District)",Secondary,1
39010000,"Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District",Unassigned,1
