"Grade Levels by District Report",,,
"District Code",District,"School Level Description","Number of Schools"
01110000,Granby,Elementary,2
01110000,Granby,Secondary,1
01140000,Greenfield,Elementary,5
01140000,Greenfield,"Middle/Junior High",1
01140000,Greenfield,Secondary,1
01170000,Hadley,Elementary,1
01170000,Hadley,Secondary,1
01180000,Halifax,Elementary,1
01210000,Hancock,Elementary,1
01220000,Hanover,Elementary,3
01220000,Hanover,"Middle/Junior High",1
01220000,Hanover,Secondary,1
01250000,Harvard,Elementary,1
01250000,Harvard,Secondary,1
01270000,Hatfield,Elementary,1
01270000,Hatfield,Secondary,1
01280000,Haverhill,Elementary,9
01280000,Haverhill,"Middle/Junior High",4
01280000,Haverhill,Secondary,3
01310000,Hingham,Elementary,4
01310000,Hingham,"Middle/Junior High",1
01310000,Hingham,Secondary,1
01330000,Holbrook,Elementary,2
01330000,Holbrook,Secondary,1
01350000,Holland,Elementary,1
01360000,Holliston,Elementary,2
01360000,Holliston,"Middle/Junior High",1
01360000,Holliston,Secondary,1
01370000,Holyoke,Elementary,9
01370000,Holyoke,Secondary,2
01380000,Hopedale,Elementary,2
01380000,Hopedale,Secondary,1
01390000,Hopkinton,Elementary,4
01390000,Hopkinton,"Middle/Junior High",1
01390000,Hopkinton,Secondary,1
01410000,Hudson,Elementary,3
01410000,Hudson,"Middle/Junior High",1
01410000,Hudson,Secondary,1
01420000,Hull,Elementary,1
01420000,Hull,"Middle/Junior High",1
01420000,Hull,Secondary,1
01440000,Ipswich,Elementary,2
01440000,Ipswich,"Middle/Junior High",1
01440000,Ipswich,Secondary,1
01450000,Kingston,Elementary,2
01480000,Lanesborough,Elementary,1
01490000,Lawrence,Elementary,17
01490000,Lawrence,"Middle/Junior High",6
01490000,Lawrence,Secondary,9
01500000,Lee,Elementary,1
01500000,Lee,Secondary,1
01510000,Leicester,Elementary,2
01510000,Leicester,"Middle/Junior High",1
01510000,Leicester,Secondary,1
01520000,Lenox,Elementary,1
01520000,Lenox,Secondary,1
01530000,Leominster,Elementary,7
01530000,Leominster,"Middle/Junior High",2
01530000,Leominster,Secondary,3
01540000,Leverett,Elementary,1
01550000,Lexington,Elementary,6
01550000,Lexington,"Middle/Junior High",2
01550000,Lexington,Secondary,1
01570000,Lincoln,Elementary,2
01570000,Lincoln,"Middle/Junior High",1
01580000,Littleton,Elementary,2
01580000,Littleton,"Middle/Junior High",1
01580000,Littleton,Secondary,1
01590000,Longmeadow,Elementary,3
01590000,Longmeadow,"Middle/Junior High",2
01590000,Longmeadow,Secondary,1
01600000,Lowell,Elementary,16
01600000,Lowell,"Middle/Junior High",6
01600000,Lowell,Secondary,2
01610000,Ludlow,Elementary,3
01610000,Ludlow,"Middle/Junior High",1
01610000,Ludlow,Secondary,1
01620000,Lunenburg,Elementary,1
01620000,Lunenburg,"Middle/Junior High",1
01620000,Lunenburg,Secondary,1
01630000,Lynn,Elementary,19
01630000,Lynn,"Middle/Junior High",3
01630000,Lynn,Secondary,4
01640000,Lynnfield,Elementary,3
01640000,Lynnfield,"Middle/Junior High",1
01640000,Lynnfield,Secondary,1
01650000,Malden,Elementary,6
01650000,Malden,Secondary,1
01670000,Mansfield,Elementary,3
01670000,Mansfield,"Middle/Junior High",1
01670000,Mansfield,Secondary,1
01680000,Marblehead,Elementary,6
01680000,Marblehead,"Middle/Junior High",1
01680000,Marblehead,Secondary,1
01690000,Marion,Elementary,1
01700000,Marlborough,Elementary,4
01700000,Marlborough,Secondary,2
01710000,Marshfield,Elementary,5
01710000,Marshfield,"Middle/Junior High",1
01710000,Marshfield,Secondary,1
01720000,Mashpee,Elementary,2
01720000,Mashpee,"Middle/Junior High",1
01720000,Mashpee,Secondary,1
01730000,Mattapoisett,Elementary,2
01740000,Maynard,Elementary,1
01740000,Maynard,"Middle/Junior High",1
01740000,Maynard,Secondary,1
01750000,Medfield,Elementary,3
01750000,Medfield,"Middle/Junior High",1
01750000,Medfield,Secondary,1
01760000,Medford,Elementary,4
01760000,Medford,"Middle/Junior High",2
01760000,Medford,Secondary,3
01770000,Medway,Elementary,2
01770000,Medway,"Middle/Junior High",1
01770000,Medway,Secondary,1
01780000,Melrose,Elementary,6
01780000,Melrose,"Middle/Junior High",1
01780000,Melrose,Secondary,1
01810000,Methuen,Elementary,4
01810000,Methuen,Secondary,1
01820000,Middleborough,Elementary,3
01820000,Middleborough,"Middle/Junior High",1
01820000,Middleborough,Secondary,1
01840000,Middleton,Elementary,2
01850000,Milford,Elementary,4
01850000,Milford,"Middle/Junior High",2
01850000,Milford,Secondary,1
01860000,Millbury,Elementary,2
01860000,Millbury,Secondary,1
01870000,Millis,Elementary,1
01870000,Millis,"Middle/Junior High",1
01870000,Millis,Secondary,1
01890000,Milton,Elementary,4
01890000,Milton,"Middle/Junior High",1
01890000,Milton,Secondary,1
01910000,Monson,Elementary,1
01910000,Monson,"Middle/Junior High",1
01910000,Monson,Secondary,1
01960000,Nahant,Elementary,1
01970000,Nantucket,Elementary,1
01970000,Nantucket,"Middle/Junior High",1
01970000,Nantucket,Secondary,1
01980000,Natick,Elementary,5
01980000,Natick,"Middle/Junior High",2
01980000,Natick,Secondary,1
01990000,Needham,Elementary,5
01990000,Needham,"Middle/Junior High",2
01990000,Needham,Secondary,1
02010000,"New Bedford",Elementary,20
02010000,"New Bedford","Middle/Junior High",3
02010000,"New Bedford",Secondary,3
02040000,Newburyport,Elementary,3
02040000,Newburyport,"Middle/Junior High",1
02040000,Newburyport,Secondary,1
02070000,Newton,Elementary,16
02070000,Newton,"Middle/Junior High",4
02070000,Newton,Secondary,2
02080000,Norfolk,Elementary,2
02090000,"North Adams",Elementary,3
02090000,"North Adams",Secondary,1
02100000,Northampton,Elementary,4
02100000,Northampton,"Middle/Junior High",1
02100000,Northampton,Secondary,1
02110000,"North Andover",Elementary,5
02110000,"North Andover","Middle/Junior High",1
02110000,"North Andover",Secondary,1
02120000,"North Attleborough",Elementary,7
02120000,"North Attleborough","Middle/Junior High",1
02120000,"North Attleborough",Secondary,1
02130000,Northborough,Elementary,4
02130000,Northborough,"Middle/Junior High",1
02140000,Northbridge,Elementary,2
02140000,Northbridge,"Middle/Junior High",1
02140000,Northbridge,Secondary,1
02150000,"North Brookfield",Elementary,1
02150000,"North Brookfield",Secondary,1
02170000,"North Reading",Elementary,3
02170000,"North Reading","Middle/Junior High",1
02170000,"North Reading",Secondary,1
02180000,Norton,Elementary,3
02180000,Norton,"Middle/Junior High",1
02180000,Norton,Secondary,1
02190000,Norwell,Elementary,2
02190000,Norwell,"Middle/Junior High",1
02190000,Norwell,Secondary,1
02200000,Norwood,Elementary,6
02200000,Norwood,"Middle/Junior High",1
02200000,Norwood,Secondary,1
02210000,"Oak Bluffs",Elementary,1
02230000,Orange,Elementary,2
02230000,Orange,"Middle/Junior High",1
02240000,Orleans,Elementary,1
02260000,Oxford,Elementary,2
02260000,Oxford,"Middle/Junior High",1
02260000,Oxford,Secondary,2
02270000,Palmer,Elementary,1
02270000,Palmer,"Middle/Junior High",1
02270000,Palmer,Secondary,1
02290000,Peabody,Elementary,8
02290000,Peabody,"Middle/Junior High",1
02290000,Peabody,Secondary,1
02300000,Pelham,Elementary,1
02310000,Pembroke,Elementary,3
02310000,Pembroke,"Middle/Junior High",1
02310000,Pembroke,Secondary,1
02340000,Petersham,Elementary,1
02360000,Pittsfield,Elementary,8
02360000,Pittsfield,"Middle/Junior High",2
02360000,Pittsfield,Secondary,2
02380000,Plainville,Elementary,2
02390000,Plymouth,Elementary,9
02390000,Plymouth,"Middle/Junior High",2
02390000,Plymouth,Secondary,2
02400000,Plympton,Elementary,1
02420000,Provincetown,Other,1
02430000,Quincy,Elementary,12
02430000,Quincy,"Middle/Junior High",5
02430000,Quincy,Secondary,2
02440000,Randolph,Elementary,4
02440000,Randolph,"Middle/Junior High",1
02440000,Randolph,Secondary,1
02460000,Reading,Elementary,6
02460000,Reading,"Middle/Junior High",2
02460000,Reading,Secondary,1
02480000,Revere,Elementary,6
02480000,Revere,"Middle/Junior High",3
02480000,Revere,Secondary,2
02490000,Richmond,Elementary,1
02500000,Rochester,Elementary,1
02510000,Rockland,Elementary,3
02510000,Rockland,"Middle/Junior High",1
02510000,Rockland,Secondary,1
02520000,Rockport,Elementary,1
02520000,Rockport,"Middle/Junior High",1
02520000,Rockport,Secondary,1
02530000,Rowe,Elementary,1
02580000,Salem,Elementary,8
02580000,Salem,"Middle/Junior High",1
02580000,Salem,Secondary,2
02610000,Sandwich,Elementary,3
02610000,Sandwich,Secondary,1
02620000,Saugus,Elementary,5
02620000,Saugus,"Middle/Junior High",1
02620000,Saugus,Secondary,1
02630000,Savoy,Elementary,1
02640000,Scituate,Elementary,4
02640000,Scituate,"Middle/Junior High",1
02640000,Scituate,Secondary,1
02650000,Seekonk,Elementary,2
02650000,Seekonk,"Middle/Junior High",1
02650000,Seekonk,Secondary,1
02660000,Sharon,Elementary,3
02660000,Sharon,"Middle/Junior High",1
02660000,Sharon,Secondary,1
02690000,Sherborn,Elementary,1
02710000,Shrewsbury,Elementary,6
02710000,Shrewsbury,"Middle/Junior High",2
02710000,Shrewsbury,Secondary,1
02720000,Shutesbury,Elementary,1
02730000,Somerset,Elementary,4
02730000,Somerset,"Middle/Junior High",1
02740000,Somerville,Elementary,8
02740000,Somerville,"Middle/Junior High",1
02740000,Somerville,Secondary,2
02750000,Southampton,Elementary,1
02760000,Southborough,Elementary,3
02760000,Southborough,"Middle/Junior High",1
02770000,Southbridge,Elementary,3
02770000,Southbridge,Secondary,1
02780000,"South Hadley",Elementary,2
02780000,"South Hadley","Middle/Junior High",1
02780000,"South Hadley",Secondary,1
02810000,Springfield,Elementary,33
02810000,Springfield,"Middle/Junior High",10
02810000,Springfield,Secondary,11
02840000,Stoneham,Elementary,4
02840000,Stoneham,"Middle/Junior High",1
02840000,Stoneham,Secondary,1
02850000,Stoughton,Elementary,6
02850000,Stoughton,"Middle/Junior High",1
02850000,Stoughton,Secondary,1
02870000,Sturbridge,Elementary,1
02880000,Sudbury,Elementary,4
02880000,Sudbury,"Middle/Junior High",1
02890000,Sunderland,Elementary,1
02900000,Sutton,Elementary,2
02900000,Sutton,"Middle/Junior High",1
02900000,Sutton,Secondary,1
02910000,Swampscott,Elementary,3
02910000,Swampscott,"Middle/Junior High",1
02910000,Swampscott,Secondary,1
02920000,Swansea,Elementary,4
02920000,Swansea,"Middle/Junior High",1
02920000,Swansea,Secondary,1
02930000,Taunton,Elementary,8
02930000,Taunton,"Middle/Junior High",3
02930000,Taunton,Secondary,2
02950000,Tewksbury,Elementary,4
02950000,Tewksbury,"Middle/Junior High",2
02950000,Tewksbury,Secondary,1
02960000,Tisbury,Elementary,1
02980000,Topsfield,Elementary,2
03000000,Truro,Elementary,1
03010000,Tyngsborough,Elementary,1
03010000,Tyngsborough,"Middle/Junior High",1
03010000,Tyngsborough,Secondary,1
03040000,Uxbridge,Elementary,1
03040000,Uxbridge,"Middle/Junior High",2
03040000,Uxbridge,Secondary,1
03050000,Wakefield,Elementary,4
03050000,Wakefield,"Middle/Junior High",1
03050000,Wakefield,Secondary,1
