,"Massachusetts School and District Profiles",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"2012 - 2013 Special Education Report",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"NOTES: Special Education data are suppressed for enrollment counts fewer than 6.",,,,,,,,,,,,,,,,,,,,,
,"      NA = Not Applicable; NR = Not Reported; ""-"" = data suppressed.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,"Indicator 1",,,"Indicator 2",,,"Indicator 5",,,"Indicator 6",,,"Indicator 7",,"Indicator 8",,,"Indicator 14",,
,,,"(Spec Ed. Grad Rate)",,,"(Spec Ed. Dropout)",,,"(LRE Ages 6-21)",,,"(LRE Ages 3-5)",,,"(Early Childhood Outcomes)",,"(Parent Involvement)",,,"(Post-School Outcomes for Students with IEPs)",,
,"Org Name","Org Code","Grad Cohort #","Grad #","Grad %","Enr #","Drop #","Drop %",Students,"Full Incl","Full Incl",Students,"Full Incl #","Full Incl %","Cohort Completion Year","Substantial growth of knowledge & skills","Survey Period","Surv Meet Std #","Surv Meet Std %","Sch Yr Rev","# of Students Engaged","Dist Rate"
Year,,,,,,,,,#,#,%,#,,,,,,,,,,
2012,Brockton,00440000,176,79,44.9,533,36,6.8,1869,1227,65.7,223,3,1.3,2013-14,50,"Spring 2012",132,84,2011-12,12,66.7
2012,Brookfield,00450000,NA,NA,NA,NA,NA,NA,34,30,88.2,7,0,0,2011-12,-,"Spring 2012",-,-,2009-10,NA,NA
2012,Brookline,00460000,111,91,82,276,1,0.4,1053,735,69.8,149,99,66.4,2012-13,100,"Spring 2013",NA,NA,2010-11,NA,NA
2012,Burlington,00480000,50,36,72,95,3,3.2,422,279,66.1,64,1,1.6,2012-13,100,"Spring 2013",NA,NA,2010-11,18,90
2012,Cambridge,00490000,131,91,69.5,248,6,2.4,1185,826,69.7,142,0,0,2011-12,-,"Spring 2012",-,-,2009-10,3,100
2012,Canton,00500000,32,28,87.5,NA,NA,NA,408,266,65.2,67,1,1.5,2010-11,80,"Spring 2011",18,64.3,2012-13,NR,NR
2012,Carlisle,00510000,NA,NA,NA,NA,NA,NA,85,72,84.7,18,12,66.7,2013-14,-,"Spring 2012",-,-,2011-12,NA,NA
2012,Carver,00520000,23,12,52.2,59,4,6.8,256,156,60.9,17,0,0,2011-12,-,"Spring 2012",-,-,2009-10,8,88.9
2012,Chatham,00550000,7,6,85.7,32,0,0,106,72,67.9,12,7,58.3,2010-11,-,"Spring 2013",NA,NA,2010-11,5,71.4
2012,Chelmsford,00560000,50,40,80,164,5,3,667,390,58.5,109,40,36.7,2013-14,-,"Spring 2012",61,85,2011-12,54,100
2012,Chelsea,00570000,67,15,22.4,145,1,0.7,660,365,55.3,52,0,0,2011-12,-,"Spring 2012",-,-,2009-10,2,66.7
2012,Chicopee,00610000,116,49,42.2,394,31,7.9,1183,652,55.1,139,116,83.5,2013-14,-,"Spring 2012",67,86,2011-12,36,78.3
2012,Clarksburg,00630000,NA,NA,NA,NA,NA,NA,26,19,73.1,5,-,-,2012-13,-,"Spring 2013",NA,NA,2010-11,NA,NA
2012,Clinton,00640000,24,15,62.5,79,2,2.5,314,216,68.8,64,2,3.1,2011-12,-,"Spring 2012",17,74,2009-10,8,80
2012,Cohasset,00650000,13,12,92.3,NA,NA,NA,177,147,83.1,19,0,0,2012-13,-,"Spring 2013",NA,NA,2010-11,3,100
2012,Concord,00670000,NA,NA,NA,NA,NA,NA,336,224,66.7,32,18,56.3,2013-14,-,"Spring 2012",42,79,2011-12,NA,NA
2012,Conway,00680000,NA,NA,NA,NA,NA,NA,28,16,57.1,6,0,0,2011-12,-,"Spring 2012",-,-,2009-10,NA,NA
2012,Danvers,00710000,53,36,67.9,167,6,3.6,582,332,57,56,2,3.6,2011-12,-,"Spring 2012",-,-,2009-10,5,100
2012,Dartmouth,00720000,46,35,76.1,97,5,5.2,434,272,62.7,32,2,6.3,2012-13,83.3,"Spring 2013",NA,NA,2010-11,4,100
2012,Dedham,00730000,53,42,79.2,132,4,3,579,359,62,84,48,57.1,2010-11,62.5,"Spring 2011",70,88.6,2012-13,NR,NR
2012,Deerfield,00740000,NA,NA,NA,NA,NA,NA,66,44,66.7,13,0,0,2011-12,-,"Spring 2012",-,-,2009-10,NA,NA
2012,Douglas,00770000,27,19,70.4,54,4,7.4,245,192,78.4,15,0,0,2010-11,-,"Spring 2011",11,91.7,2012-13,NR,NR
2012,Dover,00780000,NA,NA,NA,NA,NA,NA,59,47,79.7,9,1,11.1,NA,NA,"Spring 2011",-,-,2012-13,NR,NR
2012,Dracut,00790000,35,22,62.9,82,7,8.5,436,260,59.6,64,1,1.6,2011-12,-,"Spring 2012",8,62,2009-10,NA,NA
2012,Duxbury,00820000,46,42,91.3,96,1,1,390,324,83.1,27,13,48.1,2011-12,-,"Spring 2012",21,81,2009-10,20,100
2012,"East Bridgewater",00830000,13,11,84.6,44,3,6.8,312,227,72.8,50,15,30,2010-11,90.5,"Spring 2011",7,53.8,2012-13,NR,NR
2012,Eastham,00850000,NA,NA,NA,NA,NA,NA,30,19,63.3,6,0,0,NA,NA,"Spring 2012",-,-,2011-12,NA,NA
2012,Easthampton,00860000,24,19,79.2,86,3,3.5,304,199,65.5,33,0,0,2013-14,50,"Spring 2012",-,-,2011-12,NA,NA
2012,"East Longmeadow",00870000,62,53,85.5,177,0,0,542,325,60,23,0,0,2011-12,-,"Spring 2012",-,-,2009-10,23,95.8
2012,Easton,00880000,63,54,85.7,161,0,0,656,474,72.3,59,7,11.9,2013-14,-,"Spring 2012",54,90,2011-12,40,100
2012,Edgartown,00890000,NA,NA,NA,NA,NA,NA,59,31,52.5,6,0,0,2012-13,-,"Spring 2013",NA,NA,2010-11,NA,NA
2012,Erving,00910000,NA,NA,NA,NA,NA,NA,27,13,48.1,10,5,50,2013-14,-,"Spring 2012",-,-,2011-12,NA,NA
2012,Everett,00930000,78,41,52.6,215,0,0,915,466,50.9,97,56,57.7,NA,NA,"Spring 2011",13,86.7,2012-13,NR,NR
2012,Fairhaven,00940000,26,17,65.4,65,3,4.6,271,216,79.7,35,3,8.6,2010-11,60,"Spring 2011",8,72.7,2012-13,NR,NR
2012,"Fall River",00950000,140,50,35.7,496,42,8.5,1894,1080,57,205,22,10.7,2012-13,94.1,"Spring 2013",NA,NA,2010-11,5,83.3
2012,Falmouth,00960000,57,41,71.9,128,3,2.3,568,368,64.8,66,3,4.5,2012-13,85.7,"Spring 2013",NA,NA,2010-11,11,100
