,"Massachusetts School and District Profiles",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"2006 - 2011 Special Education Report",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"NOTES: Special Education data are suppressed for enrollment counts fewer than 6.",,,,,,,,,,,,,,,,,,
,"      NA = Not Applicable; NR = Not Reported; ""-"" = data suppressed.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,"Indicator 1",,,"Indicator 2",,,"Indicator 5",,,"Indicator 7",,"Indicator 8",,,"Indicator 14",,
,,,"(Spec Ed. Grad Rate)",,,"(Spec Ed. Dropout)",,,"(LRE Ages 6-21)",,,"(Early Childhood Outcomes)",,"(Parent Involvement)",,,"(Post-School Outcomes for Students with IEPs)",,
,"Org Name","Org Code","Grad Cohort #","Grad #","Grad %","Enr #","Drop #","Drop %",Students,"Full Incl","Full Incl","Cohort Completion Year","Substantial growth of knowledge & skills","Survey Period","Surv Meet Std #","Surv Meet Std %","Sch Yr Rev","# of Students Engaged","Dist Rate"
YEAR,,,,,,,,,#,#,%,,,,,,,,
2007,Edgartown,00890000,NA,NA,NA,NA,NA,NA,57,23,40.4,-,N/A,"Spring 2009",NR,NR,,-,-
2007,Erving,00910000,NA,NA,NA,NA,NA,NA,22,19,86.4,-,N/A,"Fall 2006",-,-,,-,-
2007,Everett,00930000,88,56,63.6,235,14,6,774,439,56.7,-,N/A,"Spring 2007",95,79.8,,-,-
2007,Fairhaven,00940000,28,15,53.6,91,4,4.4,317,201,63.4,-,N/A,"Spring 2007",48,67.6,,-,-
2007,"Fall River",00950000,156,29,18.6,431,63,14.6,1505,977,64.9,-,N/A,"Spring 2009",NR,NR,,-,-
2007,Falmouth,00960000,48,29,60.4,140,9,6.4,599,342,57.1,-,N/A,"Spring 2009",NR,NR,,-,-
2007,Fitchburg,00970000,81,46,56.8,176,17,9.7,910,605,66.5,-,N/A,"Spring 2007",82,67.8,,-,-
2007,Florida,00980000,-,-,-,NA,NA,NA,12,8,66.7,-,N/A,"Spring 2009",NR,NR,,-,-
2007,Foxborough,00990000,56,45,80.4,144,5,3.5,487,327,67.1,-,N/A,"Spring 2009",NR,NR,,-,-
2007,Framingham,01000000,88,69,78.4,294,9,3.1,1493,660,44.2,-,N/A,"Fall 2006",194,79.5,,-,-
2007,Franklin,01010000,72,59,81.9,236,1,0.4,843,554,65.7,-,N/A,"Spring 2007",174,82.5,,-,-
2007,Freetown,01020000,NA,NA,NA,NA,NA,NA,60,28,46.7,-,N/A,"Spring 2009",NR,NR,,-,-
2007,Gardner,01030000,84,45,53.6,103,7,6.8,458,108,23.6,-,N/A,"Spring 2009",NR,NR,,-,-
2007,Georgetown,01050000,22,18,81.8,61,0,0,190,158,83.2,-,N/A,"Spring 2008",NR,NR,,-,-
2007,Gloucester,01070000,90,61,67.8,241,8,3.3,714,551,77.2,-,N/A,"Spring 2007",90,75,,-,-
2007,Gosnold,01090000,NA,NA,NA,NA,NA,NA,1,-,-,-,N/A,"Fall 2006",-,-,,-,-
2007,Grafton,01100000,24,17,70.8,95,1,1.1,398,151,37.9,-,N/A,"Spring 2007",86,79.6,,-,-
2007,Granby,01110000,16,13,81.3,57,-,-,184,67,36.4,-,N/A,"Fall 2006",58,89.2,,-,-
2007,Granville,01120000,NA,NA,NA,NA,NA,NA,25,6,24,-,N/A,"Spring 2009",NR,NR,,-,-
2007,Greenfield,01140000,28,9,32.1,59,3,5.1,282,49,17.4,-,N/A,"Spring 2007",32,66.7,,-,-
2007,Hadley,01170000,6,5,83.3,19,-,-,65,51,78.5,-,N/A,"Spring 2007",15,71.4,,-,-
2007,Halifax,01180000,6,4,66.7,NA,NA,NA,84,35,41.7,-,N/A,"Fall 2006",9,64.3,,-,-
2007,Hancock,01210000,-,-,-,NA,NA,NA,4,-,-,-,N/A,"Spring 2009",NR,NR,,-,-
2007,Hanover,01220000,35,31,88.6,129,-,-,424,299,70.5,-,N/A,"Spring 2007",89,73.6,,-,-
2007,Harvard,01250000,16,14,87.5,46,1,2.2,186,144,77.4,-,N/A,"Spring 2007",37,74,,-,-
2007,Harwich,01260000,12,6,50,56,4,7.1,215,129,60,-,N/A,"Spring 2007",31,68.9,,-,-
2007,Hatfield,01270000,-,-,-,NA,NA,NA,64,28,43.8,-,N/A,"Fall 2006",11,64.7,,-,-
2007,Haverhill,01280000,86,42,48.8,361,35,9.7,1287,657,51,-,N/A,"Fall 2006",125,71.8,,-,-
2007,Hingham,01310000,38,31,81.6,89,-,-,475,390,82.1,-,N/A,"Spring 2008",NR,NR,,-,-
2007,Holbrook,01330000,17,9,52.9,54,2,3.7,249,83,33.3,-,N/A,"Spring 2007",43,87.8,,-,-
2007,Holland,01350000,NA,NA,NA,NA,NA,NA,35,11,31.4,-,N/A,"Spring 2008",NR,NR,,-,-
2007,Holliston,01360000,37,30,81.1,110,-,-,411,238,57.9,-,N/A,"Spring 2009",NR,NR,,-,-
2007,Holyoke,01370000,112,23,20.5,362,53,14.6,1481,830,56,-,N/A,"Spring 2008",NR,NR,,-,-
2007,Hopedale,01380000,17,13,76.5,57,-,-,201,113,56.2,-,N/A,"Spring 2007",34,75.6,,-,-
2007,Hopkinton,01390000,38,32,84.2,91,0,0,358,266,74.3,-,N/A,"Fall 2006",55,72.4,,-,-
2007,Hudson,01410000,21,15,71.4,116,4,3.4,530,357,67.4,-,N/A,"Fall 2006",105,84,,-,-
2007,Hull,01420000,18,13,72.2,61,6,9.8,174,131,75.3,-,N/A,"Spring 2007",28,77.8,,-,-
