			Indicator 4A			Indicator 4B		Indicator 9	Indicator 10	Indicator 11			Indicator 12			Indicator 13			
			Significant Discrepancy (Suspension/Expulsion)			Significant Discrepancy by Race/Ethnicity (Suspension/Expulsion)		(Disproportionality in Special Ed.)	(Disproportionality in Disability Category)	(Init Eval Timelines)			(Part C to B Transition)			(Secondary Transition)			
Year	Org Name	Org Code	Students #	Susp #	Susp %	Significant discrepancy	PPPs contribute to significant discrepancy	Disproportionate Representation in Special Ed	Disproportionate Representation in Disability Categories	Sch Yr Rev	Eval Comp #	Dist Rate	Sch Yr Rev	Ref Part C	IEP by #	IEP by %	Sch Yr Rev	Records in Compliance #	Dist Rate
2006	Swampscott	02910000	381	2	0.5	-	-			2008-09	NR	NR		15	14	93.3	2008-09	NR	NR
2006	Swansea	02920000	339	9	2.7	-	-			2007-08	NR	NR		6	1	16.7	2005-06	30	100
2006	Taunton	02930000	1428	15	1.1	-	-			2007-08	NR	NR		26	15	57.7	2005-06	14	50
2006	Tewksbury	02950000	777	1	0.1	-	-			2005-06	45	100		30	30	100	2006-07	NR	NR
2006	Tisbury	02960000	49	0	0	-	-			2005-06	-	-		NR	NR	NR	2006-07	NR	NR
2006	Topsfield	02980000	105	0	0	-	-			2006-07	NR	NR		4	-	-	2007-08	NR	NR
2006	Truro	03000000	21	0	0	-	-			2006-07	NR	NR		NR	NR	NR	2007-08	NR	NR
2006	Tyngsborough	03010000	241	0	0	-	-			2006-07	NR	NR		10	10	100	2007-08	NR	NR
2006	Uxbridge	03040000	291	0	0	-	-			2006-07	NR	NR		18	18	100	2007-08	NR	NR
2006	Wakefield	03050000	589	8	1.4	-	-			2008-09	NR	NR		18	0	0	2008-09	NR	NR
2006	Wales	03060000	25	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2006	Walpole	03070000	744	3	0.4	-	-			2008-09	NR	NR		18	13	72.2	2008-09	NR	NR
2006	Waltham	03080000	1068	4	0.4	-	-			2007-08	NR	NR		35	31	88.6	2005-06	29	96.7
2006	Ware	03090000	258	2	0.8	-	-			2006-07	NR	NR		4	-	-	2007-08	NR	NR
2006	Wareham	03100000	571	9	1.6	-	-			2008-09	NR	NR		9	8	88.9	2008-09	NR	NR
2006	Watertown	03140000	520	1	0.2	-	-			2007-08	NR	NR		19	19	100	2005-06	30	100
2006	Wayland	03150000	486	0	0	-	-			2006-07	NR	NR		13	8	61.5	2007-08	NR	NR
2006	Webster	03160000	306	4	1.3	-	-			2007-08	NR	NR		15	12	80	2005-06	29	100
2006	Wellesley	03170000	718	0	0	-	-			2006-07	NR	NR		26	15	57.7	2007-08	NR	NR
2006	Wellfleet	03180000	12	0	0	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2006	Westborough	03210000	415	1	0.2	-	-			2005-06	26	96.3		22	10	45.5	2006-07	NR	NR
2006	West Boylston	03220000	123	2	1.6	-	-			2005-06	13	100		4	-	-	2006-07	NR	NR
2006	West Bridgewater	03230000	137	0	0	-	-			2005-06	-	-		6	3	50	2006-07	NR	NR
2006	Westfield	03250000	1244	21	1.7	-	-			2006-07	NR	NR		28	23	82.1	2007-08	NR	NR
2006	Westford	03260000	478	0	0	-	-			2008-09	NR	NR		13	13	100	2008-09	NR	NR
2006	Westhampton	03270000	22	0	0	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	NR	NR
2006	Weston	03300000	354	1	0.3	-	-			2006-07	NR	NR		12	8	66.7	2007-08	NR	NR
2006	Westport	03310000	269	5	1.9	-	-			2008-09	NR	NR		10	7	70	2008-09	NR	NR
2006	West Springfield	03320000	618	9	1.5	-	-			2005-06	48	90.6		21	12	57.1	2006-07	NR	NR
2006	Westwood	03350000	423	0	0	-	-			2006-07	NR	NR		5	-	-	2007-08	NR	NR
2006	Weymouth	03360000	1314	18	1.4	-	-			2005-06	70	78.7		42	37	88.1	2006-07	NR	NR
2006	Whately	03370000	16	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2006	Williamsburg	03400000	37	0	0	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	NR	NR
2006	Williamstown	03410000	55	0	0	-	-			2008-09	NR	NR		2	-	-	2008-09	NR	NR
2006	Wilmington	03420000	476	1	0.2	-	-			2005-06	51	100		25	24	96	2006-07	NR	NR
2006	Winchendon	03430000	381	5	1.3	-	-			2006-07	NR	NR		12	12	100	2007-08	NR	NR
2006	Winchester	03440000	558	0	0	-	-			2008-09	NR	NR		16	12	75	2008-09	NR	NR
2006	Winthrop	03460000	369	0	0	-	-			2008-09	NR	NR		6	6	100	2008-09	NR	NR
2006	Woburn	03470000	685	4	0.6	-	-			2007-08	NR	NR		21	9	42.9	2005-06	30	100
2006	Worcester	03480000	4571	64	1.4	-	-			2006-07	NR	NR		108	59	54.6	2007-08	NR	NR
2006	Wrentham	03500000	190	0	0	-	-			2008-09	NR	NR		7	7	100	2008-09	NR	NR
2006	Northampton-Smith	04060000	184	1	0.5	-	-			2005-06	NR	NR		NA	NA	NA	2006-07	NR	NR
2006	Excel Academy Charter (District)	04100000	28	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	NR	NR
2006	Academy Of the Pacific Rim Charter Public (District)	04120000	37	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	1	5.6
2006	Four Rivers Charter Public (District)	04130000	26	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	-	-
2006	Berkshire Arts and Technology Charter (District)	04140000	32	0	0	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2006	Academy of Strategic Learning Charter (District)	04150000	18	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	NR	NR
2006	Boston Preparatory Charter Public (District)	04160000	18	1	5.6	-	-			2005-06	NR	NR		NA	NA	NA	2006-07	NR	NR
