			Indicator 4A			Indicator 4B		Indicator 9	Indicator 10	Indicator 11			Indicator 12			Indicator 13			
			Significant Discrepancy (Suspension/Expulsion)			Significant Discrepancy by Race/Ethnicity (Suspension/Expulsion)		(Disproportionality in Special Ed.)	(Disproportionality in Disability Category)	(Init Eval Timelines)			(Part C to B Transition)			(Secondary Transition)			
Year	Org Name	Org Code	Students #	Susp #	Susp %	Significant discrepancy	PPPs contribute to significant discrepancy	Disproportionate Representation in Special Ed	Disproportionate Representation in Disability Categories	Sch Yr Rev	Eval Comp #	Dist Rate	Sch Yr Rev	Ref Part C	IEP by #	IEP by %	Sch Yr Rev	Records in Compliance #	Dist Rate
2007	Wakefield	03050000	589	8	1.4	-	-			2008-09	NR	NR		20	20	100	2008-09	NR	NR
2007	Wales	03060000	25	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2007	Walpole	03070000	744	3	0.4	-	-			2008-09	NR	NR		10	10	100	2008-09	NR	NR
2007	Waltham	03080000	1068	4	0.4	-	-			2007-08	NR	NR		25	22	88	2005-06	29	96.7
2007	Ware	03090000	258	2	0.8	-	-			2006-07	-	-		5	-	-	2007-08	NR	NR
2007	Wareham	03100000	571	9	1.6	-	-			2008-09	NR	NR		13	12	92.3	2008-09	NR	NR
2007	Watertown	03140000	520	1	0.2	-	-			2007-08	NR	NR		24	24	100	2005-06	30	100
2007	Wayland	03150000	486	0	0	-	-			2006-07	41	100		NR	NR	NR	2007-08	NR	NR
2007	Webster	03160000	306	4	1.3	-	-			2007-08	NR	NR		21	19	90.5	2005-06	29	100
2007	Wellesley	03170000	718	0	0	-	-			2006-07	25	100		4	-	-	2007-08	NR	NR
2007	Wellfleet	03180000	12	0	0	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2007	Westborough	03210000	415	1	0.2	-	-			2005-06	26	96.3		NR	NR	NR	2006-07	30	100
2007	West Boylston	03220000	123	2	1.6	-	-			2005-06	13	100		2	-	-	2006-07	29	100
2007	West Bridgewater	03230000	137	0	0	-	-			2005-06	-	-		7	6	85.7	2006-07	27	93.1
2007	Westfield	03250000	1244	21	1.7	-	-			2006-07	182	99.5		14	11	78.6	2007-08	NR	NR
2007	Westford	03260000	478	0	0	-	-			2008-09	NR	NR		19	19	100	2008-09	NR	NR
2007	Westhampton	03270000	22	0	0	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	NR	NR
2007	Weston	03300000	354	1	0.3	-	-			2006-07	26	100		4	-	-	2007-08	NR	NR
2007	Westport	03310000	269	5	1.9	-	-			2008-09	NR	NR		7	1	14.3	2008-09	NR	NR
2007	West Springfield	03320000	618	9	1.5	-	-			2005-06	48	90.6		20	20	100	2006-07	30	100
2007	Westwood	03350000	423	0	0	-	-			2006-07	35	100		NR	NR	NR	2007-08	NR	NR
2007	Weymouth	03360000	1314	18	1.4	-	-			2005-06	70	78.7		35	29	82.9	2006-07	30	100
2007	Whately	03370000	16	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2007	Williamsburg	03400000	37	0	0	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	NR	NR
2007	Williamstown	03410000	55	0	0	-	-			2008-09	NR	NR		0	-	-	2008-09	NR	NR
2007	Wilmington	03420000	476	1	0.2	-	-			2005-06	51	100		21	21	100	2006-07	30	100
2007	Winchendon	03430000	381	5	1.3	-	-			2006-07	25	100		11	11	100	2007-08	NR	NR
2007	Winchester	03440000	558	0	0	-	-			2008-09	NR	NR		9	9	100	2008-09	NR	NR
2007	Winthrop	03460000	369	0	0	-	-			2008-09	NR	NR		4	-	-	2008-09	NR	NR
2007	Woburn	03470000	685	4	0.6	-	-			2007-08	NR	NR		11	11	100	2005-06	30	100
2007	Worcester	03480000	4571	64	1.4	-	-			2006-07	257	84		89	31	34.8	2007-08	NR	NR
2007	Wrentham	03500000	190	0	0	-	-			2008-09	NR	NR		13	13	100	2008-09	NR	NR
2007	Northampton-Smith	04060000	184	1	0.5	-	-			2005-06	NR	NR		NA	NA	NA	2006-07	30	100
2007	Excel Academy CS	04100000	28	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	NR	NR
2007	Academy Of Pacific Rim CS	04120000	37	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	1	5.6
2007	Four Rivers CS	04130000	26	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	-	-
2007	Berkshire Arts & Tech CS	04140000	32	0	0	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2007	Acad/Strategic Learn HMCS	04150000	18	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	12	100
2007	Boston Preparatory CS	04160000	18	1	5.6	-	-			2005-06	NR	NR		NA	NA	NA	2006-07	NR	NR
2007	Framingham Community CS	04180000	70	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2007	Smith Leadership Academy	04190000	29	1	3.4	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2007	Benjamin Banneker CS	04200000	20	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2007	Barnstable HMCS	04230000	137	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	NR	NR
2007	Boston Evening Acad HMCS	04240000	43	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	22	100
2007	Marston Mill East HMCS	04270000	41	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2007	Edward Brooke CS	04280000	38	2	5.3	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2007	Kipp Academy Lynn CS	04290000	24	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Advanced Math and Science	04300000	14	0	0	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2007	Cape Cod Lighthouse CS	04320000	27	0	0	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2007	Champion HMCS	04340000	14	0	0	-	-			NA	NA	NA		NA	NA	NA	NA	NA	NA
2007	Murdoch Middle Public CS	04350000	46	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2007	Community CS of Cambridge	04360000	40	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	City On A Hill CS	04370000	25	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Codman Academy CS	04380000	18	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	17	100
2007	Conservatory Lab CS	04390000	14	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2007	Community Day CS	04400000	59	0	0	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2007	Sabis International CS	04410000	106	3	2.8	-	-			2006-07	10	62.5		NA	NA	NA	2007-08	NR	NR
2007	Neighborhood House CS	04440000	51	0	0	-	-			2006-07	-	-		NR	NR	NR	2007-08	NR	NR
2007	Abby Kelley Foster Reg CS	04450000	110	0	0	-	-			2005-06	13	56.5		NA	NA	NA	2006-07	-	-
2007	Foxboro Regional CS	04460000	104	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	-	-
2007	Ben Franklin Classical CS	04470000	36	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	S.Boston Harbor Acad CS	04490000	52	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	-	-
2007	Hilltown Cooperative CS	04500000	28	0	0	-	-			2005-06	NR	NR		NA	NA	NA	2006-07	NR	NR
2007	Robert M Hughes Acad CS	04510000	13	0	0	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2007	Health Careers Acad HMCS	04520000	25	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	20	100
2007	Holyoke Community CS	04530000	75	2	2.7	-	-			2006-07	13	86.7		NA	NA	NA	2007-08	NR	NR
2007	Lawrence Family Dev CS	04540000	51	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2007	Hill View Montessori CS	04550000	14	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2006-07	NR	NR
2007	Lowell Community CS	04560000	55	0	0	-	-			2006-07	15	78.9		NA	NA	NA	2007-08	NR	NR
2007	Lowell Middlesex Acad CS	04580000	8	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	-	-
2007	Marblehead Community CS	04640000	50	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Martha's Vineyard CS	04660000	38	0	0	-	-			2008-09	NR	NR		2	-	-	2008-09	NR	NR
2007	Ma Academy/Math & Science	04680000	0	-	-	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2007	Media & Tech CS	04690000	20	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	14	100
2007	Mystic Valley Regional CS	04700000	89	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	-	-
2007	New Leadership HMCS	04710000	52	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	0	0
2007	New Bedford Global Learn	04720000	47	0	0	-	-			NA	NA	NA		NA	NA	NA	NA	NA	NA
2007	North Central Charter Ess	04740000	24	1	4.2	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Francis W Parker CS	04780000	22	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	10	83.3
2007	Pioneer Valley Perf Arts	04790000	45	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	29	100
2007	Boston Renaissance CS	04810000	131	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2007	River Valley CS	04820000	52	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Rising Tide CS	04830000	40	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Roxbury Prep CS	04840000	16	2	12.5	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2007	Salem Academy CS	04850000	31	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2007	Seven Hills CS	04860000	60	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Prospect Hill Academy CS	04870000	53	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	South Shore Cs	04880000	78	1	1.3	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Sturgis CS	04890000	33	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	27	100
2007	Uphams Corner CS	04900000	25	0	0	-	-			2005-06	NR	NR		NA	NA	NA	2006-07	NR	NR
2007	Atlantis CS	04910000	71	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	NR	NR
2007	MLK Jr. School of Excellence	04920000	13	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2005-06	NR	NR
2007	Phoenix Academy Charter	04930000	19	0	0	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2007	Acton-Boxborough	06000000	408	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	30	100
2007	Adams-Cheshire	06030000	246	1	0.4	-	-			2006-07	-	-		3	-	-	2007-08	NR	NR
2007	Amherst-Pelham	06050000	315	14	4.4	-	-			2006-07	13	100		NA	NA	NA	2007-08	NR	NR
2007	Ashburnham-Westminster	06100000	478	2	0.4	-	-			2008-09	NR	NR		10	10	100	2007-08	NR	NR
2007	Athol-Royalston	06150000	408	8	2	-	-			2007-08	NR	NR		5	-	-	2005-06	17	54.8
2007	Berkshire Hills	06180000	222	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2007	Berlin-Boylston	06200000	72	0	0	-	-			2005-06	-	-		4	-	-	2006-07	29	100
2007	Blackstone-Millville	06220000	365	5	1.4	-	-			2007-08	NR	NR		17	16	94.1	2005-06	30	100
2007	Bridgewater-Raynham	06250000	1002	11	1.1	-	-			2008-09	NR	NR		19	19	100	2008-09	NR	NR
2007	Chesterfield-Goshen	06320000	24	0	0	-	-			2007-08	NR	NR		NR	NR	NR	2005-06	NR	NR
2007	Central Berkshire	06350000	381	3	0.8	-	-			2005-06	-	-		8	8	100	2006-07	30	100
2007	Concord-Carlisle	06400000	188	0	0	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2007	Dennis-Yarmouth	06450000	654	18	2.8	-	-			2006-07	27	100		0	-	-	2007-08	NR	NR
2007	Dighton-Rehoboth	06500000	512	12	2.3	-	-			2008-09	NR	NR		23	23	100	2008-09	NR	NR
2007	Dover-Sherborn	06550000	99	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	21	100
2007	Dudley-Charlton Reg	06580000	567	5	0.9	-	-			2006-07	40	100		14	14	100	2007-08	NR	NR
2007	Nauset	06600000	310	7	2.3	-	-			2006-07	11	84.6		14	14	100	2007-08	NR	NR
2007	Farmington River Reg	06620000	27	0	0	-	-			2008-09	NR	NR		1	-	-	2008-09	NR	NR
2007	Freetown-Lakeville	06650000	282	7	2.5	-	-			2005-06	16	100		12	12	100	2006-07	30	100
2007	Frontier	06700000	149	0	0	-	-			2008-09	NR	NR		5	-	-	2008-09	NR	NR
2007	Gateway	06720000	237	12	5.1	-	-			2008-09	NR	NR		6	6	100	2008-09	NR	NR
2007	Groton-Dunstable	06730000	300	2	0.7	-	-			2008-09	NR	NR		10	10	100	2008-09	NR	NR
2007	Gill-Montague	06740000	242	0	0	-	-			2008-09	NR	NR		4	-	-	2008-09	NR	NR
2007	Hamilton-Wenham	06750000	328	0	0	-	-			2006-07	22	88		11	9	81.8	2007-08	NR	NR
2007	Hampden-Wilbraham	06800000	696	4	0.6	-	-			2006-07	10	33.3		9	5	55.6	2007-08	NR	NR
2007	Hampshire	06830000	131	2	1.5	-	-			2007-08	NR	NR		7	7	100	2005-06	30	100
2007	Hawlemont	06850000	29	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2007	King Philip	06900000	288	1	0.3	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2007	Lincoln-Sudbury	06950000	262	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	21	67.7
2007	Manchester Essex Regional	06980000	191	1	0.5	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	18	60
2007	Marthas Vineyard	07000000	208	2	1	-	-			2005-06	NR	NR		2	-	-	2006-07	30	100
2007	Masconomet	07050000	313	1	0.3	-	-			2005-06	16	100		NA	NA	NA	2006-07	30	100
2007	Mendon-Upton	07100000	310	2	0.6	-	-			2008-09	NR	NR		12	12	100	2008-09	NR	NR
2007	Mount Greylock	07150000	93	3	3.2	-	-			2005-06	-	-		NA	NA	NA	2006-07	28	93.3
2007	Mohawk Trail	07170000	266	4	1.5	-	-			2008-09	NR	NR		1	-	-	2008-09	NR	NR
2007	Narragansett	07200000	265	1	0.4	-	-			2006-07	20	100		9	9	100	2007-08	NR	NR
2007	Nashoba	07250000	425	0	0	-	-			2008-09	NR	NR		14	13	92.9	2008-09	NR	NR
2007	New Salem-Wendell	07280000	23	0	0	-	-			2005-06	-	-		2	-	-	2006-07	NR	NR
2007	Northboro-Southboro	07300000	137	0	0	-	-			2006-07	-	-		55	55	100	2007-08	NR	NR
2007	North Middlesex	07350000	642	5	0.8	-	-			2007-08	NR	NR		34	31	91.2	2005-06	29	100
2007	Old Rochester	07400000	135	1	0.7	-	-			2008-09	NR	NR		6	3	50	2008-09	NR	NR
2007	Pentucket	07450000	539	0	0	-	-			2005-06	37	100		NR	NR	NR	2006-07	30	100
2007	Pioneer Valley	07500000	195	0	0	-	-			2006-07	24	100		NR	NR	NR	2007-08	NR	NR
2007	Quabbin	07530000	397	1	0.3	-	-			2008-09	NR	NR		10	10	100	2006-07	30	100
2007	Ralph C Mahar	07550000	149	7	4.7	-	-			2006-07	NR	NR		NA	NA	NA	2007-08	NR	NR
2007	Silver Lake	07600000	276	5	1.8	-	-			2006-07	25	100		15	12	80	2007-08	NR	NR
2007	Southern Berkshire	07650000	113	0	0	-	-			2006-07	11	100		3	-	-	2008-09	NR	NR
2007	Southwick-Tolland	07660000	249	11	4.4	-	-			2005-06	13	100		12	12	100	2006-07	30	100
2007	Spencer-E Brookfield	07670000	452	0	0	-	-			2007-08	NR	NR		14	14	100	2005-06	29	100
2007	Tantasqua	07700000	290	1	0.3	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Triton	07730000	394	1	0.3	-	-			2006-07	29	100		6	5	83.3	2007-08	NR	NR
2007	Up-Island Regional	07740000	82	0	0	-	-			2006-07	-	-		NR	NR	NR	2007-08	NR	NR
2007	Wachusett	07750000	904	5	0.6	-	-			2008-09	NR	NR		39	37	94.9	2008-09	NR	NR
2007	Quaboag Regional	07780000	252	1	0.4	-	-			2007-08	NR	NR		5	-	-	2005-06	29	100
2007	Whitman-Hanson	07800000	715	4	0.6	-	-			2005-06	25	100		10	10	100	2006-07	29	100
2007	Assabet Valley	08010000	252	7	2.8	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Blackstone Valley Reg	08050000	149	1	0.7	-	-			2005-06	-	-		NA	NA	NA	2006-07	30	100
2007	Blue Hills Voc	08060000	223	0	0	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2007	Bristol-Plymouth Voc Tech	08100000	233	2	0.9	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	30	100
2007	Cape Cod Region Voc Tech	08150000	201	0	0	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	26	89.7
2007	Franklin County	08180000	141	1	0.7	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	30	100
2007	Greater Fall River	08210000	120	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Greater Lawrence RVT	08230000	243	1	0.4	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	22	44.9
2007	Greater New Bedford	08250000	246	1	0.4	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Greater Lowell Voc Tec	08280000	466	0	0	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2007	So Middlesex Voc Tech Reg	08290000	298	6	2	-	-			2005-06	-	-		NA	NA	NA	2006-07	30	100
2007	Minuteman Voc Tech	08300000	357	1	0.3	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2007	Montachusett Voc Tech Reg	08320000	220	2	0.9	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	30	100
2007	Northern Berkshire Voc	08510000	99	3	3	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Nashoba Valley Tech	08520000	138	2	1.4	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2007	Northeast Metro Voc	08530000	321	1	0.3	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	30	100
2007	North Shore Reg Voc	08540000	191	1	0.5	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	30	100
2007	Old Colony Reg Voc Tech	08550000	121	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	30	100
2007	Pathfinder Voc Tech	08600000	209	0	0	-	-			2005-06	NR	NR		NA	NA	NA	2006-07	13	100
2007	Shawsheen Valley Voc Tech	08710000	407	2	0.5	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Southeastern Reg Voc Tech	08720000	290	8	2.8	-	-			2007-08	NR	NR		NA	NA	NA	2005-06	30	100
2007	South Shore Reg Voc Tech	08730000	164	0	0	-	-			2008-09	NR	NR		NA	NA	NA	2008-09	NR	NR
2007	Southern Worcester Cty VT	08760000	226	5	2.2	-	-			2005-06	NR	NR		NA	NA	NA	2006-07	31	100
2007	Tri County	08780000	330	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	27	100
2007	Upper Cape Cod Voc Tech	08790000	168	2	1.2	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2007	Whittier Voc	08850000	225	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	30	100
2007	Bristol County Agr	09100000	58	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	32	100
2007	Essex Agr Tech	09130000	86	0	0	-	-			2005-06	NR	NR		NA	NA	NA	2006-07	30	100
2007	Norfolk County Agr	09150000	65	1	1.5	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2008	Abington	00010000	335	3	0.9	-	-			2005-06	-	-		17	16	94.1	2006-07	30	100
2008	Acton	00020000	404	0	0	-	-			2007-08	40	100		12	12	100	2005-06	NR	NR
2008	Acushnet	00030000	204	0	0	-	-			2006-07	13	43.3		5	-	-	2007-08	NR	NR
2008	Agawam	00050000	627	6	1	-	-			2008-09	NR	NR		20	20	100	2008-09	NR	NR
2008	Amesbury	00070000	423	2	0.5	-	-			2005-06	10	83.3		10	8	80	2006-07	30	100
2008	Amherst	00080000	260	0	0	-	-			2006-07	21	91.3		6	6	100	2007-08	NR	NR
2008	Andover	00090000	954	1	0.1	-	-			2008-09	NR	NR		12	10	83.3	2008-09	NR	NR
2008	Arlington	00100000	740	11	1.5	-	-			2007-08	47	95.9		NR	NR	NR	2005-06	27	90
2008	Ashland	00140000	351	2	0.6	-	-			2008-09	NR	NR		9	9	100	2008-09	NR	NR
2008	Attleboro	00160000	1069	12	1.1	-	-			2008-09	NR	NR		45	45	100	2008-09	NR	NR
2008	Auburn	00170000	283	1	0.4	-	-			2007-08	27	100		9	9	100	2005-06	32	100
2008	Avon	00180000	100	0	0	-	-			2008-09	NR	NR		1	-	-	2008-09	NR	NR
2008	Ayer	00190000	223	1	0.4	-	-			2005-06	12	100		11	11	100	2006-07	36	100
2008	Barnstable	00200000	569	10	1.8	-	-			2007-08	86	95.6		20	19	95	2005-06	22	73.3
2008	Bedford	00230000	469	2	0.4	-	-			2008-09	NR	NR		7	7	100	2008-09	NR	NR
2008	Belchertown	00240000	442	2	0.5	-	-			2005-06	32	100		2	-	-	2006-07	30	100
2008	Bellingham	00250000	327	1	0.3	-	-			2005-06	15	100		14	14	100	2006-07	30	100
2008	Belmont	00260000	535	1	0.2	-	-			2005-06	37	86		20	20	100	2006-07	29	100
2008	Berkley	00270000	125	0	0	-	-			2008-09	NR	NR		3	-	-	2008-09	NR	NR
2008	Berlin	00280000	41	0	0	-	-			2005-06	-	-		NR	NR	NR	2006-07	NR	NR
2008	Beverly	00300000	989	4	0.4	-	-			2005-06	17	94.4		17	16	94.1	2006-07	17	77.3
2008	Billerica	00310000	1271	1	0.1	-	-			2007-08	100	100		39	39	100	2005-06	3	13.6
2008	Boston	00350000	11166	82	0.7	-	-			2007-08	616	90.1		253	222	87.7	2007-08	30	100
2008	Bourne	00360000	404	1	0.2	-	-			2006-07	49	100		5	-	-	2007-08	30	100
2008	Boxborough	00370000	67	0	0	-	-			2007-08	-	-		NR	NR	NR	2005-06	NR	NR
2008	Boxford	00380000	137	0	0	-	-			2006-07	23	100		4	-	-	2007-08	NR	NR
2008	Boylston	00390000	53	0	0	-	-			2005-06	-	-		NR	NR	NR	2006-07	NR	NR
2008	Braintree	00400000	1008	3	0.3	-	-			2006-07	88	100		38	38	100	2007-08	29	100
2008	Brewster	00410000	72	0	0	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2008	Brimfield	00430000	65	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2008	Brockton	00440000	2141	156	7.3	-	-			2006-07	149	98.7		NR	NR	NR	2007-08	25	100
2008	Brookfield	00450000	45	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2008	Brookline	00460000	1118	7	0.6	-	-			2005-06	40	95.2		10	10	100	2006-07	25	100
2008	Burlington	00480000	511	5	1	-	-			2005-06	63	100		14	13	92.9	2006-07	31	100
2008	Cambridge	00490000	1284	27	2.1	-	-			2008-09	NR	NR		46	45	97.8	2008-09	NR	NR
2008	Canton	00500000	469	3	0.6	-	-			2007-08	28	100		22	22	100	2005-06	29	100
2008	Carlisle	00510000	89	1	1.1	-	-			2006-07	14	87.5		NR	NR	NR	2007-08	NR	NR
2008	Carver	00520000	314	4	1.3	-	-			2008-09	NR	NR		2	-	-	2008-09	NR	NR
2008	Chatham	00550000	85	0	0	-	-			2005-06	-	-		6	6	100	2006-07	15	100
2008	Chelmsford	00560000	794	4	0.5	-	-			2006-07	71	100		26	25	96.2	2007-08	28	100
2008	Chelsea	00570000	839	2	0.2	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2008	Chicopee	00610000	1155	25	2.2	-	-			2006-07	71	97.3		32	30	93.8	2007-08	29	100
2008	Clarksburg	00630000	25	0	0	-	-			2005-06	-	-		NR	NR	NR	2006-07	NR	NR
2008	Clinton	00640000	343	5	1.5	-	-			2008-09	NR	NR		11	3	27.3	2008-09	NR	NR
2008	Cohasset	00650000	171	0	0	-	-			2005-06	12	85.7		9	6	66.7	2006-07	27	100
2008	Concord	00670000	384	0	0	-	-			2006-07	34	100		9	9	100	2007-08	NR	NR
2008	Conway	00680000	45	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2008	Danvers	00710000	563	11	2	-	-			2008-09	NR	NR		15	12	80	2008-09	NR	NR
2008	Dartmouth	00720000	655	2	0.3	-	-			2005-06	12	92.3		11	6	54.5	2006-07	30	100
2008	Dedham	00730000	581	5	0.9	-	-			2007-08	37	100		13	13	100	2005-06	10	33.3
2008	Deerfield	00740000	48	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2008	Douglas	00770000	166	0	0	-	-			2007-08	-	-		10	10	100	2005-06	11	84.6
2008	Dover	00780000	81	0	0	-	-			2007-08	-	-		3	-	-	2005-06	NR	NR
2008	Dracut	00790000	451	15	3.3	-	-			2008-09	NR	NR		19	19	100	2008-09	NR	NR
2008	Duxbury	00820000	426	1	0.2	-	-			2008-09	NR	NR		6	6	100	2008-09	NR	NR
2008	East Bridgewater	00830000	282	2	0.7	-	-			2007-08	26	100		12	10	83.3	2005-06	29	100
2008	Eastham	00850000	32	0	0	-	-			2006-07	-	-		NA	NA	NA	2007-08	NR	NR
2008	Easthampton	00860000	293	3	1	-	-			2006-07	20	100		2	-	-	2007-08	26	89.7
2008	East Longmeadow	00870000	676	0	0	-	-			2008-09	NR	NR		NR	NR	NR	2008-09	NR	NR
2008	Easton	00880000	656	3	0.5	-	-			2006-07	55	100		NR	NR	NR	2007-08	30	100
2008	Edgartown	00890000	65	0	0	-	-			2005-06	-	-		NA	NA	NA	2006-07	NR	NR
2008	Erving	00910000	27	0	0	-	-			2006-07	-	-		NR	NR	NR	2007-08	NR	NR
2008	Everett	00930000	829	16	1.9	-	-			2007-08	11	28.9		39	34	87.2	2005-06	30	100
2008	Fairhaven	00940000	351	8	2.3	-	-			2007-08	22	100		12	12	100	2005-06	23	76.7
2008	Fall River	00950000	1647	51	3.1	-	-			2005-06	145	96.7		31	22	71	2006-07	27	100
2008	Falmouth	00960000	661	0	0	-	-			2005-06	46	92		20	19	95	2006-07	30	100
2008	Fitchburg	00970000	1021	37	3.6	-	-			2007-08	55	96.5		46	46	100	2005-06	30	100
2008	Florida	00980000	13	0	0	-	-			2005-06	NR	NR		NR	NR	NR	2006-07	NR	NR
2008	Foxborough	00990000	539	4	0.7	-	-			2005-06	18	100		19	19	100	2006-07	27	90
2008	Framingham	01000000	1641	5	0.3	-	-			2006-07	102	100		NR	NR	NR	2007-08	30	100
2008	Franklin	01010000	968	14	1.4	-	-			2007-08	22	100		29	29	100	2005-06	30	100
2008	Freetown	01020000	82	0	0	-	-			2005-06	-	-		NR	NR	NR	2006-07	NR	NR
