FY_CODE,SCHOOL_NAME,DISTRICT_CODE,SCHOOL_CODE,PSR_GRD_PK_CNT,PSR_GRD_K_CNT,PSR_GRD_1_CNT,PSR_GRD_2_CNT,PSR_GRD_3_CNT,PSR_GRD_4_CNT,PSR_GRD_5_CNT,PSR_GRD_6_CNT,PSR_GRD_7_CNT,PSR_GRD_8_CNT,PSR_GRD_9_CNT,PSR_GRD_10_CNT,PSR_GRD_11_CNT,PSR_GRD_12_CNT,PSR_GRD_13_CNT,PSR_GRD_SP_CNT,PSR_GRD_TOTAL_CNT
2002,"Meadowridge Behavior Ctr",0292,02920813,0,0,0,0,0,0,0,0,1,7,5,6,4,3,0,0,26
2002,"Swansea Wood School",0292,02920820,0,0,0,0,0,0,0,0,0,2,4,3,4,12,0,0,25
2002,"Coyle And Cassidy High",0293,02930805,0,0,0,0,0,0,0,0,0,0,194,175,175,164,0,0,708
2002,"Taunton Catholic Middle",0293,02930815,0,0,0,0,0,0,24,104,85,108,0,0,0,0,0,0,321
2002,"Our Lady Of Lourdes",0293,02930820,0,35,35,34,32,32,26,0,0,0,0,0,0,0,0,0,194
2002,"St Mary Primary",0293,02930850,27,51,67,68,62,61,42,0,0,0,0,0,0,0,0,0,378
2002,"Burke Country Day School",0295,02950810,53,20,15,14,12,13,5,0,0,0,0,0,0,0,0,0,132
2002,"Vineyard Montessori",0296,02960825,38,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,50
2002,"Acad of Notre Dame Elem",0301,03010804,0,50,50,50,50,50,50,66,62,66,0,0,0,0,0,0,494
2002,"Academy of Notre Dame H S",0301,03010805,0,0,0,0,0,0,0,0,0,0,72,67,63,59,0,0,261
