FY_CODE,WPI_ORG_NAME,ORG_CODE,ORG_TYP_CODE,WPI_PGRAD_4YRPRV_CNT,WPI_PGRAD_4YRPRV_PCT,WPI_PGRAD_4YRPUB_CNT,WPI_PGRAD_4YRPUB_PCT,WPI_PGRAD_2YRPRV_CNT,WPI_PGRAD_2YRPRV_PCT,WPI_PGRAD_2YRPUB_CNT,WPI_PGRAD_2YRPUB_PCT,WPI_PGRAD_PSTSEC_CNT,WPI_PGRAD_PSTSEC_PCT,WPI_PGRAD_WORK_CNT,WPI_PGRAD_WORK_PCT,WPI_PGRAD_MILIT_CNT,WPI_PGRAD_MILIT_PCT,WPI_PGRAD_OTHER_CNT,WPI_PGRAD_OTHER_PCT,WPI_PGRAD_UNKNOWN_CNT,WPI_PGRAD_UNKNOWN_PCT,WPI_PGRAD_TOTAL_CNT
1995,ATTLEBORO,00160000,5,,24.2,,17.7,,3.5,,10.6,,2.9,,31.9,,8,,1.2,,0,339
1995,"STUDLEY SCHOOL",00160001,6,,,,,,,,,,,,,,,,,,,
1995,"ATTLEBOROUGH ECC",00160005,,,,,,,,,,,,,,,,,,,,
1995,"JOSEPH FINBERG",00160010,,,,,,,,,,,,,,,,,,,,
1995,WILLETT,00160035,6,,,,,,,,,,,,,,,,,,,
1995,"HYMAN FINE ELEM",00160040,6,,,,,,,,,,,,,,,,,,,
1995,"HILL ROBERTS ELEM",00160045,6,,,,,,,,,,,,,,,,,,,
1995,"ROBERT J COELHO MIDDLE",00160305,6,,,,,,,,,,,,,,,,,,,
1995,"PETER THACHER MIDDLE",00160310,,,,,,,,,,,,,,,,,,,,
1995,"CYRIL K BRENNAN MIDDLE",00160315,6,,,,,,,,,,,,,,,,,,,
1995,"ATTLEBORO HIGH",00160505,6,,28.3,,19.9,,4,,9.6,,2.9,,29,,6.3,,0,,0,272
1995,"ATTLEBORO VOC TECH HIGH",00160605,6,,7.5,,9,,1.5,,14.9,,3,,43.3,,14.9,,6,,0,67
1995,AUBURN,00170000,5,,36,,21.6,,7.2,,22.3,,3.6,,7.9,,1.4,,0,,0,139
1995,"JULIA BANCROFT",00170005,6,,,,,,,,,,,,,,,,,,,
1995,"BRYN MAWR",00170010,6,,,,,,,,,,,,,,,,,,,
1995,PAKACHOAG,00170015,6,,,,,,,,,,,,,,,,,,,
1995,"MARY D STONE",00170025,6,,,,,,,,,,,,,,,,,,,
1995,"AUBURN MIDDLE",00170305,6,,,,,,,,,,,,,,,,,,,
1995,"AUBURN SENIOR HIGH",00170505,6,,36,,21.6,,7.2,,22.3,,3.6,,7.9,,1.4,,0,,0,139
1995,AVON,00180000,5,,35.6,,17.8,,11.1,,26.7,,0,,6.7,,2.2,,0,,0,45
1995,"RALPH D BUTLER",00180010,6,,,,,,,,,,,,,,,,,,,
1995,"AVON HIGH SCHOOL",00180505,,,35.6,,17.8,,11.1,,26.7,,0,,6.7,,2.2,,0,,0,45
1995,AYER,00190000,5,,16.4,,35.8,,4.5,,13.4,,1.5,,23.9,,4.5,,0,,0,67
1995,PAGE,00190010,,,,,,,,,,,,,,,,,,,,
1995,HILLTOP-PAGE,00190025,6,,,,,,,,,,,,,,,,,,,
1995,"AYER MIDDLE",00190305,6,,,,,,,,,,,,,,,,,,,
1995,"AYER HIGH",00190510,6,,16.4,,35.8,,4.5,,13.4,,1.5,,23.9,,4.5,,0,,0,67
1995,BARNSTABLE,00200000,5,,26.3,,29.3,,1.5,,19,,0.9,,14.8,,3.3,,2.7,,2.1,331
1995,"WEST BARNSTABLE ELEM",00200005,6,,,,,,,,,,,,,,,,,,,
1995,"CENTERVILLE ELEMENTARY",00200010,6,,,,,,,,,,,,,,,,,,,
1995,"COTUIT ELEM",00200015,6,,,,,,,,,,,,,,,,,,,
1995,"HYANNIS ELEMENTARY",00200020,6,,,,,,,,,,,,,,,,,,,
1995,"HYANNIS WEST ELEMENTARY",00200025,6,,,,,,,,,,,,,,,,,,,
1995,"MARSTONS MILLS ELEM",00200030,6,,,,,,,,,,,,,,,,,,,
1995,"MARSTON MILLS EAST",00200032,6,,,,,,,,,,,,,,,,,,,
1995,"OSTERVILLE ELEMENTARY",00200035,6,,,,,,,,,,,,,,,,,,,
1995,"OSTERVILLE BAY ELEMENTARY",00200040,6,,,,,,,,,,,,,,,,,,,
1995,"GRADE 5 SCHOOL",00200045,6,,,,,,,,,,,,,,,,,,,
1995,"MIDDLE SCHOOL/HYANNIS",00200305,6,,,,,,,,,,,,,,,,,,,
1995,"MIDDLE SCH/MARSTON'S MILL",00200310,6,,,,,,,,,,,,,,,,,,,
1995,"BARNSTABLE HIGH",00200505,6,,26.3,,29.3,,1.5,,19,,0.9,,14.8,,3.3,,2.7,,2.1,331
1995,BEDFORD,00230000,5,,51.2,,33.9,,1.6,,8.7,,0,,3.1,,0.8,,0.8,,0,127
1995,"LT ELEZER DAVIS",00230010,6,,,,,,,,,,,,,,,,,,,
1995,"LT JOB LANE SCHOOL",00230012,6,,,,,,,,,,,,,,,,,,,
1995,"JOHN GLENN MIDDLE",00230305,6,,,,,,,,,,,,,,,,,,,
1995,"BEDFORD HIGH",00230505,6,,51.2,,33.9,,1.6,,8.7,,0,,3.1,,0.8,,0.8,,0,127
1995,BELCHERTOWN,00240000,5,,36.2,,30.9,,1.1,,19.1,,1.1,,11.7,,0,,0,,0,94
1995,"BERKSHIRE AVENUE SCHOOL",00240002,6,,,,,,,,,,,,,,,,,,,
1995,CENTER,00240003,,,,,,,,,,,,,,,,,,,,
1995,"CHESTNUT HILL COMMUNITY",00240004,6,,,,,,,,,,,,,,,,,,,
1995,"COLD SPRING",00240005,6,,,,,,,,,,,,,,,,,,,
1995,"FRANKLIN SCHOOL",00240010,,,,,,,,,,,,,,,,,,,,
1995,"MEADOW SCHOOL",00240015,,,,,,,,,,,,,,,,,,,,
1995,"TADGELL HALL",00240020,6,,,,,,,,,,,,,,,,,,,
1995,"BELCHERTOWN HIGH",00240505,6,,36.2,,30.9,,1.1,,19.1,,1.1,,11.7,,0,,0,,0,94
1995,BELLINGHAM,00250000,5,,20.6,,31.6,,1.5,,12.5,,0,,25.7,,8.1,,0,,0,136
1995,"CLARA MACY ELEMENTARY",00250009,6,,,,,,,,,,,,,,,,,,,
1995,"SOUTH ELEM",00250020,6,,,,,,,,,,,,,,,,,,,
1995,"STALL BROOK",00250025,6,,,,,,,,,,,,,,,,,,,
