FY_CODE	ORG_CODE	SPA_GENR_EDU_CNT	SPA_SPED_CNT	SPA_CAREER_VOC_CNT	SPA_ENG_LNR_CNT	SPA_TOTAL	SPA_GENR_EDU_PCT	SPA_SPED_PCT	SPA_CAREER_VOC_PCT	SPA_ENG_LNR_PCT	SPA_TOTAL_PCT
2008	01550008	31	5.5	0	1	37.5	82.6	14.7	0	2.7	100
2008	01550010	26.7	3.5	0	1	31.2	85.6	11.2	0	3.2	100
2008	01550015	28.5	6.5	0	.5	35.5	80.4	18.3	0	1.3	100
2008	01550030	25	7.8	0	1.4	34.2	73.1	22.8	0	4.1	100
2008	01550035	25.2	6.7	0	1	32.9	76.6	20.4	0	3	100
2008	01550305	53.2	13.2	0	.8	67.2	79.2	19.6	0	1.2	100
2008	01550310	63.6	10	0	.2	73.8	86.1	13.5	0	.3	100
2008	01550505	130.6	23.6	0	.4	154.6	84.5	15.3	0	.3	100
2008	01570000	96.7	19	4	1.2	120.9	80	15.7	3.3	1	100
2008	01570006	21	4	1	.2	26.2	80.2	15.3	3.8	.8	100
2008	01570025	48.5	10	2	.4	60.9	79.6	16.4	3.3	.7	100
2008	01570305	23.5	4	1	.6	29	80.8	13.7	3.4	2.1	100
2008	01580000	96.7	11.8	0	0	108.5	89.1	10.9	0	0	100
2008	01580005	25.4	4	0	0	29.4	86.4	13.6	0	0	100
2008	01580015	21.1	1	0	0	22.1	95.5	4.5	0	0	100
2008	01580305	23	3.8	0	0	26.7	85.9	14.1	0	0	100
2008	01580505	27.2	3.1	0	0	30.3	89.9	10.1	0	0	100
2008	01590000	209.5	24.7	0	2	236.2	88.7	10.5	0	.8	100
2008	01590005	29.9	2	0	.3	32.3	92.7	6.2	0	1.1	100
2008	01590010	30.5	3.6	0	.3	34.5	88.6	10.4	0	1	100
2008	01590017	27.7	4	0	.3	32	86.7	12.5	0	.8	100
2008	01590025	26.8	3	0	.3	30.2	89	9.9	0	1.1	100
2008	01590305	26.1	4	0	.3	30.4	86	13.2	0	.8	100
2008	01590505	68.4	8.1	0	.5	77	88.8	10.5	0	.6	100
2008	01600000	872.6	162.1	4.2	46	1084.9	80.4	14.9	.4	4.2	100
2008	01600002	25	5	0	0	30	83.3	16.7	0	0	100
2008	01600010	21	7	0	7	35	60	20	0	20	100
2008	01600015	26	7	0	4	37	70.3	18.9	0	10.8	100
2008	01600018	27.6	4	0	0	31.6	87.4	12.6	0	0	100
2008	01600020	34.4	8.2	0	0	42.5	80.8	19.2	0	0	100
2008	01600027	9.8	1	0	4	14.8	66.2	6.8	0	27	100
2008	01600030	27	5	0	0	32	84.4	15.6	0	0	100
2008	01600036	26	7	0	0	33	78.8	21.2	0	0	100
2008	01600040	26.6	7	0	5	38.6	68.9	18.1	0	13	100
2008	01600050	26.5	6	0	0	32.5	81.5	18.5	0	0	100
2008	01600054	15.3	1	0	2	18.3	83.6	5.5	0	10.9	100
2008	01600055	14.8	3	0	0	17.8	83.1	16.9	0	0	100
2008	01600075	28.5	8	0	0	36.5	78.1	21.9	0	0	100
2008	01600080	26	7	0	6	39	66.7	17.9	0	15.4	100
2008	01600090	26.3	4.1	0	0	30.4	86.6	13.4	0	0	100
2008	01600310	31.1	7	0	2	40	77.6	17.4	0	5	100
2008	01600315	45.5	10	0	0	55.5	82.1	17.9	0	0	100
2008	01600330	43.1	6.5	.2	2	51.7	83.3	12.6	.3	3.9	100
2008	01600335	43.2	8	0	0	51.2	84.4	15.6	0	0	100
2008	01600340	39.5	7	0	0	46.5	84.9	15.1	0	0	100
2008	01600345	40.5	7.1	0	0	47.5	85.2	14.8	0	0	100
2008	01600360	38.9	6	0	0	44.8	86.6	13.4	0	0	100
2008	01600505	225.2	30.4	4	14	273.6	82.3	11.1	1.5	5.1	100
2008	01610000	170.5	43.5	0	2	216	79	20.1	0	.9	100
2008	01610005	21.5	2.5	0	0	24	89.6	10.4	0	0	100
2008	01610015	24.6	10	0	1	35.6	69.1	28.1	0	2.8	100
2008	01610018	.1	2	0	0	2.1	4.8	95.2	0	0	100
2008	01610023	22.6	5.2	0	0	27.8	81.3	18.7	0	0	100
2008	01610305	44	11.4	0	.6	56	78.5	20.4	0	1.1	100
2008	01610505	57.7	12.3	0	.4	70.4	81.9	17.5	0	.6	100
2008	01620000	101	18.5	0	0	119.5	84.5	15.5	0	0	100
2008	01620010	19	5.5	0	0	24.5	77.6	22.4	0	0	100
2008	01620015	18.5	4	0	0	22.5	82.2	17.8	0	0	100
2008	01620020	24.5	4	0	0	28.5	86	14	0	0	100
2008	01620505	39	5	0	0	44	88.6	11.4	0	0	100
2008	01630000	734.7	214.8	41.1	62	1052.6	69.8	20.4	3.9	5.9	100
2008	01630011	14.9	1.2	0	0	16.1	92.7	7.3	0	0	100
2008	01630016	18	10	0	0	28	64.3	35.7	0	0	100
2008	01630020	17	3	0	0	20	85	15	0	0	100
2008	01630030	24.3	6	0	4	34.3	70.9	17.5	0	11.6	100
2008	01630035	25.8	5	0	3	33.8	76.3	14.8	0	8.9	100
2008	01630040	24.9	12	0	6	42.9	58.1	27.9	0	14	100
2008	01630045	31.3	10	0	8	49.3	63.5	20.3	0	16.2	100
2008	01630050	46.8	10	0	0	56.8	82.4	17.6	0	0	100
2008	01630055	21.1	8.2	0	0	29.3	72.1	27.9	0	0	100
2008	01630060	32.3	9.8	0	7	49.1	65.7	20	0	14.3	100
2008	01630070	13.5	2	0	0	15.5	87.1	12.9	0	0	100
2008	01630075	8.1	3	0	0	11.1	72.9	27.1	0	0	100
2008	01630080	8.8	3.2	0	0	12	73.5	26.5	0	0	100
2008	01630085	14.4	4	0	3	21.4	67.2	18.7	0	14	100
2008	01630090	18.7	8.7	0	0	27.4	68.4	31.6	0	0	100
2008	01630095	23.7	6.2	0	0	29.9	79.3	20.7	0	0	100
2008	01630100	14	4	0	0	18	77.8	22.2	0	0	100
2008	01630105	16	4.2	0	0	20.2	79.3	20.7	0	0	100
2008	01630115	1.5	7	0	0	8.5	17.6	82.4	0	0	100
2008	01630305	49.2	17.6	0	9	75.8	64.9	23.2	0	11.9	100
2008	01630330	.3	4.7	0	0	5	6	94	0	0	100
2008	01630405	66.5	12.2	0	0	78.7	84.5	15.5	0	0	100
2008	01630420	37.4	14	0	0	51.4	72.8	27.2	0	0	100
