FY	org_code	district_short_name	total	avg	fte
1997	01740000	MAYNARD                      	4088977	37173	110
1997	01750000	MEDFIELD                     	6944121	45655	152
1997	01760000	MEDFORD                      	18871160	42637	443
1997	01770000	MEDWAY                       	6603021	46863	141
1997	01780000	MELROSE                      	10565912	44451	238
1997	01810000	METHUEN                      	14713436	38247	385
1997	01820000	MIDDLEBOROUGH                	8496817	42957	198
1997	01840000	MIDDLETON                    	1494211	39529	38
1997	01850000	MILFORD                      	12725059	44138	288
1997	01860000	MILLBURY                     	5053461	47317	107
1997	01870000	MILLIS                       	3438276	46843	73
1997	01890000	MILTON                       	10259345	41892	245
1997	01910000	MONSON                       	3420192	40717	84
1997	01960000	NAHANT                       	737310	41656	18
1997	01970000	NANTUCKET                    	4866640	31317	155
1997	01980000	NATICK                       	13559512	46612	291
1997	01990000	NEEDHAM                      	13561347	47584	285
1997	02010000	NEW BEDFORD                  	41194258	44486	926
1997	02040000	NEWBURYPORT                  	7726621	41496	186
1997	02070000	NEWTON                       	37511009	49227	762
1997	02080000	NORFOLK                      	2775390	44837	62
1997	02090000	NORTH ADAMS                  	6398422	37418	171
1997	02100000	NORTHAMPTON                  	8117933	29413	276
1997	02110000	NORTH ANDOVER                	10196599	44314	230
1997	02120000	NORTH ATTLEBOROUGH           	10237773	37501	273
1997	02130000	NORTHBOROUGH                 	5267285	47029	112
1997	02140000	NORTHBRIDGE                  	5788676	42626	136
1997	02150000	NORTH BROOKFIELD             	2394103	37176	64
1997	02170000	NORTH READING                	5716840	46066	124
1997	02180000	NORTON                       	6205368	40295	154
1997	02190000	NORWELL                      	6501004	53772	121
1997	02200000	NORWOOD                      	10785103	43771	246
1997	02210000	OAK BLUFFS                   	1448190	43230	34
1997	02230000	ORANGE                       	2174433	33976	64
1997	02240000	ORLEANS                      	1118299	41266	27
1997	02260000	OXFORD                       	5065526	42567	119
1997	02270000	PALMER                       	4686723	36615	128
1997	02290000	PEABODY                      	16105109	39697	406
1997	02300000	PELHAM                       	398079	41467	10
1997	02310000	PEMBROKE                     	4774190	46217	103
1997	02340000	PETERSHAM                    	186536	24544	8
1997	02360000	PITTSFIELD                   	19959287	40625	491
1997	02380000	PLAINVILLE                   	1641479	42089	39
1997	02390000	PLYMOUTH                     	26123136	44670	585
1997	02400000	PLYMPTON                     	742166	41004	18
1997	02420000	PROVINCETOWN                 	1757865	31616	56
1997	02430000	QUINCY                       	26400470	45518	580
1997	02440000	RANDOLPH                     	11149901	41635	268
1997	02460000	READING                      	11827492	45057	263
1997	02480000	REVERE                       	15496765	45713	339
1997	02490000	RICHMOND                     	688053	37394	18
1997	02500000	ROCHESTER                    	1278106	44379	29
1997	02510000	ROCKLAND                     	7150734	45315	158
1997	02520000	ROCKPORT                     	3197397	39868	80
1997	02530000	ROWE                         	144294	18739	8
1997	02580000	SALEM                        	13911548	40892	340
1997	02610000	SANDWICH                     	9851657	43380	227
1997	02620000	SAUGUS                       	9842854	40093	246
1997	02630000	SAVOY                        	165770	39469	4
