FY_CODE,PARENT_ORG_CODE,ORG_CODE,ORG_NAME,TEACHER_COUNT,LICENSED_PCT,CORE_COUNT,HQ_PCT,STAFF_TEASTU_PCT
2004,00180000,00180010,"Ralph D Butler",20.2,100,18,100,12.4
2004,00180000,00180510,"Avon Middle High School",37.4,89.3,31,93.55,12.1
2004,00190000,00190000,Ayer,107.42,97.21,97.42,96.92,12.9
2004,00190000,00190025,Page-Hilltop,51.8,98.07,47,97.87,12.6
2004,00190000,00190305,"Ayer Middle",28.19,100,25.99,100,12.9
2004,00190000,00190510,"Ayer High",27.43,92.71,24.43,91.81,13.6
2004,00200000,00200000,Barnstable,436.95,97.61,380.05,97.38,12.8
2004,00200000,00200005,"West Barnstable Elem",21,100,18.6,100,13.7
2004,00200000,00200010,"Centerville Elementary",36.7,100,26.9,100,10.3
2004,00200000,00200015,"Cotuit Elem",12.9,93.8,11.5,97.39,11.9
2004,00200000,00200020,"Hyannis Elementary",33.5,100,31.1,100,11
2004,00200000,00200025,"Hyannis West Elementary",31.1,100,29.1,100,10.5
2004,00200000,00200030,"Marstons Mills Elem",11.15,98.65,9.75,98.46,12.6
2004,00200000,00200032,"Marstons Mills East",45.5,100,38.5,100,9.1
2004,00200000,00200035,"Osterville Elementary",16.7,100,15.3,100,16.6
2004,00200000,00200040,"Osterville Bay Elementary",11.5,100,10.3,100,16.1
2004,00200000,00200305,"Middle School/Hyannis",83,97.59,74.5,97.32,12.8
2004,00200000,00200505,"Barnstable High",133.9,94.4,114.5,93.45,14.9
2004,00230000,00230000,Bedford,188.05,88.81,163.8,93.16,11.9
2004,00230000,00230010,"Lt Elezer Davis",33.35,92.5,29.75,96.64,15.1
2004,00230000,00230012,"Lt Job Lane School",40.65,93.85,36.85,97.29,12.7
2004,00230000,00230305,"John Glenn Middle",48.8,81.66,40.85,92.66,10.4
2004,00230000,00230505,"Bedford High",65.25,89.12,56.35,89,11
2004,00240000,00240000,Belchertown,152,100,131,100,16.5
2004,00240000,00240002,"Berkshire Avenue School",4.5,100,4.5,100,20
2004,00240000,00240004,"Chestnut Hill Community",40,100,29,100,15.2
2004,00240000,00240005,"Cold Spring",15,100,14,100,21.1
2004,00240000,00240018,"Swift River Elem",37.5,100,35.5,100,17.1
2004,00240000,00240020,"Tadgell Hall",10,100,9,100,17.6
2004,00240000,00240505,"Belchertown High",45,100,39,100,15.2
2004,00250000,00250000,Bellingham,190.25,98.14,169.95,87.21,14.3
2004,00250000,00250003,"Bellingham ECC",4.8,100,4,100,3.8
2004,00250000,00250009,"Clara Macy Elementary",19,100,18.4,96.74,14
2004,00250000,00250020,"South Elem",29.7,100,27.4,97.08,14.2
2004,00250000,00250025,"Stall Brook",25.2,100,23.4,96.58,13.5
2004,00250000,00250315,"Bellingham Memorial Middle School",57.25,96.28,50.45,64.06,14.9
2004,00250000,00250505,"Bellingham High School",46.3,99.14,39.3,98.98,16.9
2004,00250000,00250510,"Primavera Jr/Sr H S",8,87.5,7,85.71,6
2004,00260000,00260000,Belmont,250.75,87.72,231.35,84.14,14.8
2004,00260000,00260005,"Winn Brook",28.05,95.01,24.95,94.39,15.4
