FY_CODE,ORG_CODE,ORG_NAME,ESTATUS,MSTATUS
2007,02430000,Quincy,"Improvement Year 2 - Subgroups",
2007,02440000,Randolph,"Improvement Year 2 - Subgroups","Improvement Year 1 - Subgroups"
2007,02460000,Reading,,
2007,02480000,Revere,"Corrective Action - Subgroups",
2007,02490000,Richmond,,
2007,02500000,Rochester,,
2007,02510000,Rockland,,
2007,02520000,Rockport,,
2007,02530000,Rowe,,
2007,02580000,Salem,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2007,02610000,Sandwich,,
2007,02620000,Saugus,,
2007,02630000,Savoy,,
2007,02640000,Scituate,,
2007,02650000,Seekonk,,
2007,02660000,Sharon,,
2007,02690000,Sherborn,,
2007,02700000,Shirley,,
2007,02710000,Shrewsbury,,
2007,02720000,Shutesbury,,
2007,02730000,Somerset,,
2007,02740000,Somerville,"Corrective Action","Corrective Action - Subgroups"
2007,02750000,Southampton,,"Improvement Year 1 - Subgroups"
2007,02760000,Southborough,,
2007,02770000,Southbridge,"Corrective Action - Subgroups",
2007,02780000,"South Hadley",,
2007,02810000,Springfield,"Corrective Action","Corrective Action - Subgroups"
2007,02840000,Stoneham,,
2007,02850000,Stoughton,"Improvement Year 1 - Subgroups",
2007,02870000,Sturbridge,,
2007,02880000,Sudbury,,
2007,02890000,Sunderland,,
2007,02900000,Sutton,,
2007,02910000,Swampscott,,
2007,02920000,Swansea,,
2007,02930000,Taunton,,
2007,02950000,Tewksbury,,
2007,02960000,Tisbury,,
2007,02980000,Topsfield,,
2007,03000000,Truro,,
2007,03010000,Tyngsborough,,
2007,03040000,Uxbridge,,
2007,03050000,Wakefield,,
2007,03060000,Wales,,
2007,03070000,Walpole,,
2007,03080000,Waltham,"Improvement Year 2 - Subgroups",
2007,03090000,Ware,,
2007,03100000,Wareham,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2007,03140000,Watertown,,
2007,03150000,Wayland,,
2007,03160000,Webster,,
2007,03170000,Wellesley,,
2007,03180000,Wellfleet,,
2007,03210000,Westborough,,
2007,03220000,"West Boylston",,
2007,03230000,"West Bridgewater",,
2007,03250000,Westfield,"Corrective Action - Subgroups","Corrective Action - Subgroups"
2007,03260000,Westford,,
